x,y,z,T,Ux,Uy,Uz,p,source
2.2500,0.0500,0.0500,298.591,-0.2458,0.0979,-0.0992,100031.00,vane25
2.3500,0.0500,0.0500,298.543,-0.2572,0.1028,-0.1059,100031.00,vane25
2.4500,0.0500,0.0500,298.499,-0.2672,0.1072,-0.1141,100031.00,vane25
2.5500,0.0500,0.0500,298.458,-0.2742,0.1113,-0.1229,100031.00,vane25
2.6500,0.0500,0.0500,298.421,-0.2774,0.1152,-0.1320,100031.00,vane25
2.7500,0.0500,0.0500,298.388,-0.2768,0.1188,-0.1410,100031.00,vane25
2.8500,0.0500,0.0500,298.358,-0.2721,0.1221,-0.1498,100031.00,vane25
2.9500,0.0500,0.0500,298.333,-0.2635,0.1252,-0.1584,100031.00,vane25
3.0500,0.0500,0.0500,298.313,-0.2511,0.1280,-0.1668,100031.00,vane25
3.1500,0.0500,0.0500,298.297,-0.2349,0.1305,-0.1748,100031.00,vane25
3.2500,0.0500,0.0500,298.287,-0.2151,0.1325,-0.1825,100031.00,vane25
3.3500,0.0500,0.0500,298.282,-0.1916,0.1339,-0.1896,100031.00,vane25
3.4500,0.0500,0.0500,298.284,-0.1646,0.1346,-0.1961,100031.00,vane25
3.5500,0.0500,0.0500,298.293,-0.1342,0.1344,-0.2014,100031.00,vane25
3.6500,0.0500,0.0500,298.310,-0.1012,0.1334,-0.2050,100031.00,vane25
3.7500,0.0500,0.0500,298.337,-0.0666,0.1315,-0.2057,100031.00,vane25
3.8500,0.0500,0.0500,298.377,-0.0303,0.1289,-0.2007,100031.00,vane25
3.9500,0.0500,0.0500,298.433,-0.0099,0.1256,-0.1831,100031.00,vane25
4.0500,0.0500,0.0500,298.433,0.0099,0.1256,-0.1831,100031.00,vane25
4.1500,0.0500,0.0500,298.377,0.0303,0.1289,-0.2007,100031.00,vane25
4.2500,0.0500,0.0500,298.337,0.0666,0.1315,-0.2057,100031.00,vane25
4.3500,0.0500,0.0500,298.310,0.1012,0.1334,-0.2050,100031.00,vane25
4.4500,0.0500,0.0500,298.293,0.1342,0.1344,-0.2014,100031.00,vane25
4.5500,0.0500,0.0500,298.284,0.1646,0.1346,-0.1961,100031.00,vane25
4.6500,0.0500,0.0500,298.282,0.1916,0.1339,-0.1896,100031.00,vane25
4.7500,0.0500,0.0500,298.287,0.2151,0.1325,-0.1825,100031.00,vane25
4.8500,0.0500,0.0500,298.297,0.2349,0.1305,-0.1748,100031.00,vane25
4.9500,0.0500,0.0500,298.313,0.2511,0.1280,-0.1668,100031.00,vane25
5.0500,0.0500,0.0500,298.333,0.2635,0.1252,-0.1584,100031.00,vane25
5.1500,0.0500,0.0500,298.358,0.2721,0.1221,-0.1498,100031.00,vane25
5.2500,0.0500,0.0500,298.388,0.2768,0.1188,-0.1410,100031.00,vane25
5.3500,0.0500,0.0500,298.421,0.2774,0.1152,-0.1320,100031.00,vane25
5.4500,0.0500,0.0500,298.458,0.2742,0.1113,-0.1229,100031.00,vane25
