dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,22.740
Xp,1,0,4.4570,1.7750,2.6000,18.558
Xp,2,0,4.4570,1.8500,2.6000,18.558
Xp,3,0,4.4570,1.9250,2.6000,18.181
Xp,4,0,4.4570,2.0000,2.6000,18.221
Xp,5,0,4.4570,2.0750,2.6000,18.221
Xp,6,0,4.4570,2.1500,2.6000,18.238
Xp,7,0,4.4570,2.2250,2.6000,18.564
Xp,8,0,4.4570,2.3000,2.6000,18.564
Xp,0,1,4.5292,1.7400,2.5528,20.037
Xp,1,1,4.5693,1.8084,2.5397,20.037
Xp,2,1,4.6225,1.8539,2.5647,19.118
Xp,3,1,4.6225,1.9289,2.5647,19.118
Xp,4,1,4.6229,1.9891,2.5627,19.181
Xp,5,1,4.6229,2.0634,2.5626,19.181
Xp,6,1,4.6194,2.1215,2.5459,19.402
Xp,7,1,4.5989,2.1909,2.5468,19.406
Xp,8,1,4.5680,2.2642,2.5443,20.130
Xp,0,2,4.5459,1.7463,2.5430,20.037
Xp,1,2,4.5885,1.8136,2.5301,20.037
Xp,2,2,4.6520,1.8547,2.5595,19.118
Xp,3,2,4.6520,1.9297,2.5595,19.118
Xp,4,2,4.6525,1.9873,2.5571,19.181
Xp,5,2,4.6524,2.0609,2.5570,19.181
Xp,6,2,4.6484,2.1166,2.5376,19.402
Xp,7,2,4.6252,2.1850,2.5381,19.402
Xp,8,2,4.5864,2.2580,2.5354,20.130
Xp,0,3,4.5615,1.7525,2.5335,20.037
Xp,1,3,4.6075,1.8183,2.5208,20.037
Xp,2,3,4.6824,1.8557,2.5542,19.118
Xp,3,3,4.6824,1.9307,2.5542,19.118
Xp,4,3,4.6829,1.9856,2.5515,19.181
Xp,5,3,4.6827,2.0583,2.5513,19.181
Xp,6,3,4.6777,2.1120,2.5294,19.402
Xp,7,3,4.6515,2.1792,2.5295,19.402
Xp,8,3,4.6043,2.2518,2.5267,20.130
Xp,0,4,4.5928,1.7668,2.5137,20.037
Xp,1,4,4.6501,1.8294,2.4992,20.277
Xp,2,4,4.7504,1.8576,2.5414,19.023
Xp,3,4,4.7504,1.9326,2.5414,19.023
Xp,4,4,4.7508,1.9818,2.5380,19.102
Xp,5,4,4.7505,2.0529,2.5376,19.102
Xp,6,4,4.7424,2.1015,2.5099,19.518
Xp,7,4,4.7086,2.1662,2.5097,19.402
Xp,8,4,4.6450,2.2379,2.5066,20.384
Xp,0,5,4.6182,1.7771,2.4976,20.277
Xp,1,5,4.6827,1.8366,2.4833,20.277
Xp,2,5,4.8067,1.8593,2.5318,19.023
Xp,3,5,4.8067,1.9343,2.5318,19.023
Xp,4,5,4.8069,1.9790,2.5278,19.102
Xp,5,5,4.8063,2.0482,2.5272,19.102
Xp,6,5,4.7939,2.0938,2.4954,19.518
Xp,7,5,4.7538,2.1563,2.4945,19.518
Xp,8,5,4.6747,2.2271,2.4917,20.384
Xp,0,6,4.6421,1.7877,2.4814,20.277
Xp,1,6,4.7176,1.8432,2.4665,20.277
Xp,2,6,4.8684,1.8611,2.5207,19.017
Xp,3,6,4.8684,1.9361,2.5207,19.017
Xp,4,6,4.8682,1.9765,2.5162,19.141
Xp,5,6,4.8671,2.0431,2.5155,19.141
Xp,6,6,4.8487,2.0862,2.4797,19.102
Xp,7,6,4.8005,2.1461,2.4783,19.518
Xp,8,6,4.7052,2.2156,2.4760,20.384
Xp,0,7,4.6642,1.7987,2.4651,20.277
Xp,1,7,4.7549,1.8491,2.4488,21.272
Xp,2,7,4.9350,1.8630,2.5078,19.017
Xp,3,7,4.9350,1.9380,2.5078,19.017
Xp,4,7,4.9343,1.9741,2.5030,19.141
Xp,5,7,4.9325,2.0378,2.5021,19.141
Xp,6,7,4.9064,2.0786,2.4625,19.141
Xp,7,7,4.8481,2.1356,2.4610,19.518
Xp,8,7,4.7365,2.2036,2.4594,19.518
Xp,0,8,4.6818,1.8085,2.4505,20.277
Xp,1,8,4.7903,1.8535,2.4315,20.026
Xp,2,8,5.0011,1.8647,2.4942,19.082
Xp,3,8,5.0011,1.9397,2.4942,19.082
Xp,4,8,4.9997,1.9722,2.4891,19.231
Xp,5,8,4.9969,2.0327,2.4882,19.231
Xp,6,8,4.9614,2.0718,2.4451,19.972
