t_s,point,ue_x,ue_y,z,T_C,U_mag
0.53,A,4.00,2.00,0.10,28.876,0.0004
0.53,A,4.00,2.00,1.10,28.867,0.0169
0.53,A,4.00,2.00,1.70,28.861,0.0800
0.53,B,7.50,0.80,0.10,28.876,0.0002
0.53,B,7.50,0.80,1.10,28.867,0.0004
0.53,B,7.50,0.80,1.70,28.862,0.0005
0.53,C,4.00,4.50,0.10,28.876,0.0010
0.53,C,4.00,4.50,1.10,28.867,0.0014
0.53,C,4.00,4.50,1.70,28.862,0.0020
0.53,D,0.50,0.80,0.10,28.876,0.0002
0.53,D,0.50,0.80,1.10,28.867,0.0004
0.53,D,0.50,0.80,1.70,28.862,0.0005
1.40,A,4.00,2.00,0.10,28.875,0.0012
1.40,A,4.00,2.00,1.10,28.867,0.0385
1.40,A,4.00,2.00,1.70,28.861,0.1392
1.40,B,7.50,0.80,0.10,28.875,0.0007
1.40,B,7.50,0.80,1.10,28.867,0.0015
1.40,B,7.50,0.80,1.70,28.861,0.0018
1.40,C,4.00,4.50,0.10,28.875,0.0034
1.40,C,4.00,4.50,1.10,28.867,0.0055
1.40,C,4.00,4.50,1.70,28.861,0.0099
1.40,D,0.50,0.80,0.10,28.875,0.0007
1.40,D,0.50,0.80,1.10,28.867,0.0015
1.40,D,0.50,0.80,1.70,28.861,0.0018
2.28,A,4.00,2.00,0.10,28.874,0.0019
2.28,A,4.00,2.00,1.10,28.867,0.0532
2.28,A,4.00,2.00,1.70,28.861,0.1622
2.28,B,7.50,0.80,0.10,28.874,0.0016
2.28,B,7.50,0.80,1.10,28.867,0.0038
2.28,B,7.50,0.80,1.70,28.861,0.0047
2.28,C,4.00,4.50,0.10,28.874,0.0069
2.28,C,4.00,4.50,1.10,28.867,0.0133
2.28,C,4.00,4.50,1.70,28.861,0.0312
2.28,D,0.50,0.80,0.10,28.874,0.0016
2.28,D,0.50,0.80,1.10,28.867,0.0038
2.28,D,0.50,0.80,1.70,28.861,0.0047
