ix,iz,x,z,T
4,0,32.0,0.0,22.544
5,0,40.0,0.0,22.544
6,0,48.0,0.0,22.544
7,0,56.0,0.0,21.932
8,0,64.0,0.0,21.932
9,0,72.0,0.0,21.932
10,0,80.0,0.0,21.932
11,0,88.0,0.0,21.680
12,0,96.0,0.0,21.680
13,0,104.0,0.0,21.680
14,0,112.0,0.0,21.653
15,0,120.0,0.0,21.653
16,0,128.0,0.0,21.653
17,0,136.0,0.0,21.653
18,0,144.0,0.0,21.714
19,0,152.0,0.0,21.714
20,0,160.0,0.0,21.714
21,0,168.0,0.0,21.714
22,0,176.0,0.0,21.855
23,0,184.0,0.0,21.855
24,0,192.0,0.0,21.855
25,0,200.0,0.0,22.097
26,0,208.0,0.0,22.097
27,0,216.0,0.0,22.097
28,0,224.0,0.0,22.378
29,0,232.0,0.0,22.378
30,0,240.0,0.0,22.378
31,0,248.0,0.0,22.378
32,0,256.0,0.0,22.387
33,0,264.0,0.0,22.387
34,0,272.0,0.0,22.387
35,0,280.0,0.0,22.277
36,0,288.0,0.0,22.277
37,0,296.0,0.0,22.277
38,0,304.0,0.0,22.277
39,0,312.0,0.0,22.192
40,0,320.0,0.0,22.192
41,0,328.0,0.0,22.192
42,0,336.0,0.0,22.192
43,0,344.0,0.0,22.149
44,0,352.0,0.0,22.149
45,0,360.0,0.0,22.149
46,0,368.0,0.0,22.135
47,0,376.0,0.0,22.135
48,0,384.0,0.0,22.135
49,0,392.0,0.0,22.135
50,0,400.0,0.0,22.130
51,0,408.0,0.0,22.130
52,0,416.0,0.0,22.130
53,0,424.0,0.0,22.133
54,0,432.0,0.0,22.133
55,0,440.0,0.0,22.133
56,0,448.0,0.0,22.158
57,0,456.0,0.0,22.158
58,0,464.0,0.0,22.158
59,0,472.0,0.0,22.158
60,0,480.0,0.0,22.209
61,0,488.0,0.0,22.209
62,0,496.0,0.0,22.209
63,0,504.0,0.0,22.291
64,0,512.0,0.0,22.291
65,0,520.0,0.0,22.291
66,0,528.0,0.0,22.291
67,0,536.0,0.0,22.402
68,0,544.0,0.0,22.402
69,0,552.0,0.0,22.402
70,0,560.0,0.0,22.307
71,0,568.0,0.0,22.307
72,0,576.0,0.0,22.307
73,0,584.0,0.0,22.307
74,0,592.0,0.0,21.988
75,0,600.0,0.0,21.988
76,0,608.0,0.0,21.988
77,0,616.0,0.0,21.770
78,0,624.0,0.0,21.770
79,0,632.0,0.0,21.770
80,0,640.0,0.0,21.770
81,0,648.0,0.0,21.665
82,0,656.0,0.0,21.665
83,0,664.0,0.0,21.665
84,0,672.0,0.0,21.665
85,0,680.0,0.0,21.639
86,0,688.0,0.0,21.639
87,0,696.0,0.0,21.639
88,0,704.0,0.0,21.727
89,0,712.0,0.0,21.727
90,0,720.0,0.0,21.727
91,0,728.0,0.0,22.154
92,0,736.0,0.0,22.154
93,0,744.0,0.0,22.154
94,0,752.0,0.0,22.154
95,0,760.0,0.0,22.862
96,0,768.0,0.0,22.862
4,1,32.0,8.0,22.544
5,1,40.0,8.0,22.544
6,1,48.0,8.0,22.544
7,1,56.0,8.0,21.932
8,1,64.0,8.0,21.932
9,1,72.0,8.0,21.932
10,1,80.0,8.0,21.932
11,1,88.0,8.0,21.680
12,1,96.0,8.0,21.680
13,1,104.0,8.0,21.680
14,1,112.0,8.0,21.653
15,1,120.0,8.0,21.653
16,1,128.0,8.0,21.653
17,1,136.0,8.0,21.653
18,1,144.0,8.0,21.714
19,1,152.0,8.0,21.714
20,1,160.0,8.0,21.714
21,1,168.0,8.0,21.714
22,1,176.0,8.0,21.855
23,1,184.0,8.0,21.855
24,1,192.0,8.0,21.855
