x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.8181,0.0837,0.5690,0.1728,23.31
60.0,60.0,110.0,0.1141,0.9493,-0.2931,0.0835,23.27
60.0,120.0,110.0,0.4611,0.8773,-0.1332,0.1259,23.34
60.0,180.0,110.0,0.5181,0.8434,0.1423,0.0961,23.39
60.0,240.0,110.0,0.3338,0.4902,0.8052,0.0518,23.52
120.0,0.0,110.0,-0.8172,0.0322,0.5755,0.2057,23.27
120.0,60.0,110.0,-0.3995,0.8011,-0.4457,0.0637,23.38
120.0,120.0,110.0,0.4841,0.7820,-0.3926,0.0839,23.56
120.0,180.0,110.0,0.6840,0.5997,-0.4153,0.1183,23.54
120.0,240.0,110.0,0.6316,0.5290,-0.5668,0.1005,23.55
120.0,300.0,110.0,0.6697,0.5056,-0.5440,0.0453,23.63
120.0,360.0,110.0,0.1371,0.0273,0.9902,0.0670,23.61
180.0,0.0,110.0,-0.7670,0.0206,0.6414,0.2280,23.27
180.0,60.0,110.0,-0.6794,0.7059,-0.2004,0.0538,23.51
180.0,120.0,110.0,0.7988,0.5675,-0.1996,0.0499,23.64
180.0,180.0,110.0,0.9148,0.1467,-0.3764,0.1033,23.69
180.0,240.0,110.0,0.8103,0.1219,-0.5732,0.1129,23.75
180.0,300.0,110.0,0.8125,0.1125,-0.5720,0.0756,23.80
240.0,0.0,110.0,-0.7060,0.0181,0.7080,0.2291,23.30
240.0,120.0,110.0,0.9623,-0.2442,-0.1201,0.0539,23.71
240.0,180.0,110.0,0.9100,-0.2955,-0.2907,0.1114,23.82
240.0,240.0,110.0,0.8969,-0.1870,-0.4007,0.1072,23.91
240.0,300.0,110.0,0.9612,-0.2326,-0.1483,0.0604,23.87
240.0,480.0,110.0,0.1728,0.0324,0.9844,0.0587,23.61
300.0,0.0,110.0,-0.6069,0.0064,0.7947,0.2005,23.37
300.0,120.0,110.0,0.7001,-0.7129,-0.0407,0.0897,23.83
300.0,180.0,110.0,0.7625,-0.6332,-0.1330,0.1019,23.94
300.0,240.0,110.0,0.8676,-0.4888,-0.0916,0.0731,23.94
300.0,300.0,110.0,0.8332,-0.5501,0.0563,0.0460,23.85
360.0,0.0,110.0,-0.3085,-0.0325,0.9507,0.1521,23.44
360.0,60.0,110.0,0.1486,-0.7996,-0.5819,0.0688,23.80
360.0,120.0,110.0,0.1831,-0.3951,-0.9002,0.2516,23.22
360.0,180.0,110.0,0.0289,-0.1511,-0.9881,0.5211,22.02
360.0,240.0,110.0,0.2524,-0.3447,-0.9041,0.0689,23.68
360.0,540.0,110.0,0.0385,0.0096,0.9992,0.1420,23.87
420.0,0.0,110.0,0.3086,-0.0325,0.9506,0.1521,23.44
420.0,60.0,110.0,-0.1485,-0.7996,-0.5819,0.0688,23.80
420.0,120.0,110.0,-0.1831,-0.3952,-0.9002,0.2516,23.22
420.0,180.0,110.0,-0.0290,-0.1511,-0.9881,0.5210,22.02
420.0,240.0,110.0,-0.2525,-0.3446,-0.9041,0.0689,23.68
420.0,540.0,110.0,-0.0459,0.0162,0.9988,0.1393,23.86
480.0,0.0,110.0,0.6070,0.0064,0.7947,0.2005,23.37
480.0,120.0,110.0,-0.7002,-0.7128,-0.0407,0.0897,23.83
480.0,180.0,110.0,-0.7625,-0.6332,-0.1331,0.1019,23.94
480.0,240.0,110.0,-0.8676,-0.4888,-0.0916,0.0731,23.94
480.0,300.0,110.0,-0.8711,-0.4899,0.0357,0.0499,23.86
480.0,540.0,110.0,-0.0188,0.0258,0.9995,0.1687,23.93
540.0,0.0,110.0,0.7060,0.0181,0.7080,0.2291,23.30
540.0,60.0,110.0,0.9055,0.4222,0.0422,0.0442,23.66
540.0,120.0,110.0,-0.9623,-0.2442,-0.1200,0.0539,23.71
540.0,180.0,110.0,-0.9100,-0.2954,-0.2908,0.1114,23.82
540.0,240.0,110.0,-0.8970,-0.1870,-0.4006,0.1072,23.91
540.0,300.0,110.0,-0.9596,-0.1737,-0.2215,0.0638,23.87
540.0,480.0,110.0,-0.1437,0.0373,0.9889,0.0659,23.61
600.0,0.0,110.0,0.7779,0.0246,0.6280,0.2200,23.26
600.0,60.0,110.0,0.6431,0.7269,-0.2410,0.0552,23.49
600.0,120.0,110.0,-0.7024,0.6727,-0.2328,0.0537,23.62
600.0,180.0,110.0,-0.8918,0.2425,-0.3819,0.1033,23.67
600.0,240.0,110.0,-0.7797,0.2149,-0.5882,0.1128,23.72
600.0,300.0,110.0,-0.7688,0.1840,-0.6125,0.0744,23.77
600.0,420.0,110.0,-0.1657,0.0588,0.9844,0.0454,23.58
600.0,480.0,110.0,0.0500,-0.0279,0.9984,0.1911,23.99
660.0,0.0,110.0,0.8205,0.0354,0.5705,0.2022,23.27
660.0,60.0,110.0,0.2914,0.8229,-0.4877,0.0662,23.37
660.0,120.0,110.0,-0.4744,0.7791,-0.4099,0.0933,23.54
660.0,180.0,110.0,-0.6400,0.6591,-0.3949,0.1215,23.49
660.0,240.0,110.0,-0.6145,0.5754,-0.5398,0.0963,23.53
660.0,360.0,110.0,-0.0121,-0.0391,0.9992,0.1079,23.68
720.0,0.0,110.0,0.8021,0.1023,0.5883,0.1700,23.32
720.0,60.0,110.0,-0.1721,0.9807,-0.0932,0.0894,23.24
720.0,120.0,110.0,-0.4592,0.8872,0.0454,0.1267,23.33
720.0,180.0,110.0,-0.4692,0.7886,0.3974,0.0886,23.41
720.0,240.0,110.0,-0.1165,0.1680,0.9789,0.0790,23.61
720.0,300.0,110.0,0.0404,-0.0824,0.9958,0.1751,24.01
780.0,0.0,110.0,0.2732,0.2868,0.9182,0.1987,23.66
780.0,60.0,110.0,-0.0434,0.5454,0.8370,0.2263,23.78
780.0,120.0,110.0,-0.0784,0.2989,0.9511,0.2150,23.96
