pid,x,y,z,T,speed
0,397.7,249.5,259.3,19.97,0.369
0,397.7,246.2,254.4,19.97,0.739
0,397.7,243.4,250.9,21.03,0.739
0,397.7,240.7,247.5,21.03,0.550
0,397.7,235.2,246.0,19.62,0.550
0,397.7,229.6,244.6,19.62,0.716
0,397.7,225.0,246.9,19.78,0.716
0,397.7,220.4,249.2,19.78,0.645
0,397.7,215.8,251.5,19.96,0.645
0,397.7,212.7,261.4,19.62,0.690
0,397.7,209.4,267.0,19.54,1.298
0,397.7,206.2,267.0,19.54,1.684
0,397.7,202.9,267.0,19.63,1.684
0,397.7,202.4,267.0,19.63,1.846
0,397.7,202.0,267.0,19.63,1.846
0,397.7,201.5,267.0,19.63,1.846
0,397.7,201.0,267.0,19.63,1.846
0,397.7,200.5,267.0,19.63,1.846
0,397.7,200.1,267.0,19.63,1.846
0,397.7,199.6,267.0,19.63,1.846
0,397.7,199.1,267.0,19.63,1.846
0,397.7,198.7,267.0,19.63,1.846
0,397.7,198.2,267.0,19.63,1.846
0,397.7,197.7,267.0,19.63,1.846
0,397.7,197.2,267.0,19.63,1.846
0,397.7,196.8,267.0,19.63,1.846
0,397.7,196.3,267.0,19.63,1.846
0,397.7,195.8,267.0,19.63,1.846
0,397.7,195.4,267.0,19.63,1.846
0,397.7,194.9,267.0,19.63,1.846
0,397.7,194.4,267.0,19.63,1.846
0,397.7,193.9,267.0,19.63,1.846
0,397.7,193.5,267.0,19.63,1.846
0,397.7,193.0,267.0,19.63,1.846
0,397.7,192.5,267.0,19.63,1.846
0,397.7,192.1,267.0,19.63,1.846
0,397.7,194.5,267.0,19.63,1.846
0,397.7,194.1,267.0,19.63,1.846
0,397.7,193.6,267.0,19.63,1.846
0,397.7,193.1,267.0,19.63,1.846
0,397.7,192.7,267.0,19.63,1.846
0,397.7,192.2,267.0,19.63,1.846
0,397.7,194.6,267.0,19.63,1.846
0,397.7,194.2,267.0,19.63,1.846
0,397.7,193.7,267.0,19.63,1.846
0,397.7,193.2,267.0,19.63,1.846
0,397.7,192.8,267.0,19.63,1.846
0,397.7,192.3,267.0,19.63,1.846
0,397.7,191.8,267.0,19.31,1.846
0,397.7,191.4,267.0,19.31,1.733
0,397.7,190.9,267.0,19.31,1.733
0,397.7,190.4,267.0,19.31,1.733
0,397.7,192.9,267.0,19.63,1.733
0,397.7,192.4,267.0,19.63,1.846
0,397.7,191.9,267.0,19.31,1.846
0,397.7,191.5,267.0,19.31,1.733
0,397.7,191.0,267.0,19.31,1.733
0,397.7,190.5,267.0,19.31,1.733
0,397.7,193.0,267.0,19.63,1.733
0,397.7,192.5,267.0,19.63,1.846
0,397.7,192.1,267.0,19.63,1.846
0,397.7,194.5,267.0,19.63,1.846
0,397.7,194.1,267.0,19.63,1.846
0,397.7,193.6,267.0,19.63,1.846
0,397.7,193.1,267.0,19.63,1.846
0,397.7,192.7,267.0,19.63,1.846
0,397.7,192.2,267.0,19.63,1.846
0,397.7,194.7,267.0,19.63,1.846
0,397.7,194.2,267.0,19.63,1.846
0,397.7,193.7,267.0,19.63,1.846
0,397.7,193.2,267.0,19.63,1.846
0,397.7,192.8,267.0,19.63,1.846
0,397.7,192.3,267.0,19.63,1.846
0,397.7,191.8,267.0,19.31,1.846
0,397.7,191.4,267.0,19.31,1.733
0,397.7,190.9,267.0,19.31,1.733
0,397.7,190.4,267.0,19.31,1.733
0,397.7,192.9,267.0,19.63,1.733
0,397.7,192.4,267.0,19.63,1.846
0,397.7,191.9,267.0,19.31,1.846
0,397.7,191.5,267.0,19.31,1.733
0,397.7,191.0,267.0,19.31,1.733
0,397.7,190.5,267.0,19.31,1.733
0,397.7,193.0,267.0,19.63,1.733
0,397.7,192.5,267.0,19.63,1.846
0,397.7,192.1,267.0,19.63,1.846
0,397.7,194.5,267.0,19.63,1.846
0,397.7,194.1,267.0,19.63,1.846
0,397.7,193.6,267.0,19.63,1.846
0,397.7,193.1,267.0,19.63,1.846
0,397.7,192.7,267.0,19.63,1.846
0,397.7,192.2,267.0,19.63,1.846
0,397.7,194.7,267.0,19.63,1.846
0,397.7,194.2,267.0,19.63,1.846
0,397.7,193.7,267.0,19.63,1.846
0,397.7,193.2,267.0,19.63,1.846
0,397.7,192.8,267.0,19.63,1.846
0,397.7,192.3,267.0,19.63,1.846
0,397.7,191.8,267.0,19.31,1.846
0,397.7,191.4,267.0,19.31,1.733
0,397.7,190.9,267.0,19.31,1.733
0,397.7,190.4,267.0,19.31,1.733
0,397.7,192.9,267.0,19.63,1.733
0,397.7,192.4,267.0,19.63,1.846
0,397.7,191.9,267.0,19.31,1.846
0,397.7,191.5,267.0,19.31,1.733
0,397.7,191.0,267.0,19.31,1.733
0,397.7,190.5,267.0,19.31,1.733
0,397.7,193.0,267.0,19.63,1.733
0,397.7,192.5,267.0,19.63,1.846
0,397.7,192.1,267.0,19.63,1.846
0,397.7,194.5,267.0,19.63,1.846
0,397.7,194.1,267.0,19.63,1.846
0,397.7,193.6,267.0,19.63,1.846
0,397.7,193.1,267.0,19.63,1.846
0,397.7,192.7,267.0,19.63,1.846
0,397.7,192.2,267.0,19.63,1.846
0,397.7,194.7,267.0,19.63,1.846
0,397.7,194.2,267.0,19.63,1.846
0,397.7,193.7,267.0,19.63,1.846
0,397.7,193.2,267.0,19.63,1.846
0,397.7,192.8,267.0,19.63,1.846
