x,y,z,T,Ux,Uy,Uz,p,source
2.2500,0.0500,0.0500,296.174,-0.2855,0.0750,-0.0799,100032.00,vane25
2.3500,0.0500,0.0500,296.123,-0.2896,0.0798,-0.0861,100032.00,vane25
2.4500,0.0500,0.0500,296.073,-0.2929,0.0842,-0.0927,100032.00,vane25
2.5500,0.0500,0.0500,296.026,-0.2943,0.0883,-0.0996,100032.00,vane25
2.6500,0.0500,0.0500,295.982,-0.2936,0.0920,-0.1066,100032.00,vane25
2.7500,0.0500,0.0500,295.939,-0.2902,0.0955,-0.1135,100032.00,vane25
2.8500,0.0500,0.0500,295.899,-0.2842,0.0986,-0.1203,100032.00,vane25
2.9500,0.0500,0.0500,295.862,-0.2753,0.1013,-0.1269,100032.00,vane25
3.0500,0.0500,0.0500,295.828,-0.2637,0.1037,-0.1332,100032.00,vane25
3.1500,0.0500,0.0500,295.796,-0.2491,0.1055,-0.1393,100032.00,vane25
3.2500,0.0500,0.0500,295.767,-0.2315,0.1068,-0.1449,100032.00,vane25
3.3500,0.0500,0.0500,295.742,-0.2108,0.1074,-0.1503,100032.00,vane25
3.4500,0.0500,0.0500,295.719,-0.1867,0.1073,-0.1551,100032.00,vane25
3.5500,0.0500,0.0500,295.701,-0.1590,0.1063,-0.1594,100032.00,vane25
3.6500,0.0500,0.0500,295.686,-0.1277,0.1043,-0.1629,100032.00,vane25
3.7500,0.0500,0.0500,295.676,-0.0925,0.1013,-0.1649,100032.00,vane25
3.8500,0.0500,0.0500,295.672,-0.0529,0.0969,-0.1640,100032.00,vane25
3.9500,0.0500,0.0500,295.679,-0.0225,0.0909,-0.1553,100032.00,vane25
4.0500,0.0500,0.0500,295.679,0.0225,0.0909,-0.1553,100032.00,vane25
4.1500,0.0500,0.0500,295.672,0.0529,0.0969,-0.1640,100032.00,vane25
4.2500,0.0500,0.0500,295.676,0.0925,0.1013,-0.1649,100032.00,vane25
4.3500,0.0500,0.0500,295.686,0.1277,0.1043,-0.1629,100032.00,vane25
4.4500,0.0500,0.0500,295.701,0.1590,0.1063,-0.1594,100032.00,vane25
4.5500,0.0500,0.0500,295.719,0.1867,0.1073,-0.1551,100032.00,vane25
4.6500,0.0500,0.0500,295.742,0.2108,0.1074,-0.1503,100032.00,vane25
4.7500,0.0500,0.0500,295.767,0.2315,0.1068,-0.1449,100032.00,vane25
4.8500,0.0500,0.0500,295.796,0.2491,0.1055,-0.1393,100032.00,vane25
4.9500,0.0500,0.0500,295.828,0.2637,0.1037,-0.1332,100032.00,vane25
5.0500,0.0500,0.0500,295.862,0.2753,0.1013,-0.1269,100032.00,vane25
5.1500,0.0500,0.0500,295.899,0.2842,0.0986,-0.1203,100032.00,vane25
5.2500,0.0500,0.0500,295.939,0.2902,0.0955,-0.1135,100032.00,vane25
5.3500,0.0500,0.0500,295.982,0.2936,0.0920,-0.1066,100032.00,vane25
5.4500,0.0500,0.0500,296.026,0.2943,0.0883,-0.0996,100032.00,vane25
5.5500,0.0500,0.0500,296.073,0.2929,0.0842,-0.0927,100032.00,vane25
5.6500,0.0500,0.0500,296.123,0.2897,0.0798,-0.0861,100032.00,vane25
5.7500,0.0500,0.0500,296.174,0.2855,0.0750,-0.0799,100032.00,vane25
2.2500,0.1500,0.0500,296.074,-0.2727,0.1379,-0.0525,100032.00,vane25
2.3500,0.1500,0.0500,296.030,-0.2757,0.1466,-0.0558,100032.00,vane25
2.4500,0.1500,0.0500,295.987,-0.2781,0.1550,-0.0596,100032.00,vane25
2.5500,0.1500,0.0500,295.946,-0.2787,0.1629,-0.0637,100032.00,vane25
2.6500,0.1500,0.0500,295.907,-0.2772,0.1703,-0.0680,100032.00,vane25
2.7500,0.1500,0.0500,295.870,-0.2732,0.1772,-0.0723,100032.00,vane25
2.8500,0.1500,0.0500,295.836,-0.2666,0.1836,-0.0765,100032.00,vane25
