dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,23.925
Xp,1,0,4.4570,1.7750,2.6000,18.983
Xp,2,0,4.4570,1.8500,2.6000,18.983
Xp,3,0,4.4570,1.9250,2.6000,18.640
Xp,4,0,4.4570,2.0000,2.6000,18.751
Xp,5,0,4.4570,2.0750,2.6000,18.751
Xp,6,0,4.4570,2.1500,2.6000,18.768
Xp,7,0,4.4570,2.2250,2.6000,19.149
Xp,8,0,4.4570,2.3000,2.6000,19.149
Xp,0,1,4.5323,1.7385,2.5545,20.774
Xp,1,1,4.5726,1.8073,2.5414,20.774
Xp,2,1,4.6233,1.8526,2.5634,19.790
Xp,3,1,4.6233,1.9276,2.5634,19.790
Xp,4,1,4.6239,1.9865,2.5606,19.975
Xp,5,1,4.6238,2.0605,2.5605,19.975
Xp,6,1,4.6197,2.1199,2.5467,20.294
Xp,7,1,4.5984,2.1889,2.5469,20.311
Xp,8,1,4.5678,2.2631,2.5453,21.224
Xp,0,2,4.5497,1.7445,2.5450,20.774
Xp,1,2,4.5925,1.8122,2.5322,20.774
Xp,2,2,4.6530,1.8531,2.5580,19.790
Xp,3,2,4.6530,1.9281,2.5580,19.790
Xp,4,2,4.6538,1.9843,2.5547,19.975
Xp,5,2,4.6534,2.0574,2.5544,19.975
Xp,6,2,4.6490,2.1149,2.5386,20.294
Xp,7,2,4.6244,2.1826,2.5382,20.294
Xp,8,2,4.5871,2.2566,2.5365,21.224
Xp,0,3,4.5662,1.7503,2.5358,20.774
Xp,1,3,4.6120,1.8166,2.5231,21.022
Xp,2,3,4.6838,1.8535,2.5525,19.790
Xp,3,3,4.6838,1.9285,2.5525,19.790
Xp,4,3,4.6847,1.9823,2.5487,19.975
Xp,5,3,4.6839,2.0542,2.5482,19.975
Xp,6,3,4.6785,2.1100,2.5307,20.294
Xp,7,3,4.6504,2.1763,2.5296,20.294
Xp,8,3,4.6064,2.2501,2.5279,21.224
Xp,0,4,4.5992,1.7638,2.5167,20.774
Xp,1,4,4.6560,1.8270,2.5021,21.022
Xp,2,4,4.7523,1.8545,2.5393,19.660
Xp,3,4,4.7523,1.9295,2.5393,19.660
Xp,4,4,4.7535,1.9778,2.5344,19.875
Xp,5,4,4.7518,2.0474,2.5336,19.875
Xp,6,4,4.7436,2.0989,2.5116,20.433
Xp,7,4,4.7069,2.1623,2.5098,20.294
Xp,8,4,4.6493,2.2356,2.5079,21.524
Xp,0,5,4.6264,1.7734,2.5012,21.022
Xp,1,5,4.6892,1.8334,2.4867,21.022
Xp,2,5,4.8093,1.8553,2.5293,19.660
Xp,3,5,4.8093,1.9303,2.5293,19.660
Xp,4,5,4.8102,1.9749,2.5235,19.875
Xp,5,5,4.8071,2.0414,2.5224,19.875
Xp,6,5,4.7956,2.0909,2.4975,20.433
Xp,7,5,4.7514,2.1515,2.4948,20.433
Xp,8,5,4.6821,2.2241,2.4931,21.524
Xp,0,6,4.6523,1.7832,2.4857,21.022
Xp,1,6,4.7240,1.8392,2.4705,21.022
Xp,2,6,4.8718,1.8558,2.5178,19.611
Xp,3,6,4.8718,1.9308,2.5178,19.611
Xp,4,6,4.8719,1.9723,2.5111,19.936
Xp,5,6,4.8666,2.0350,2.5096,19.936
Xp,6,6,4.8508,2.0826,2.4821,19.936
Xp,7,6,4.7974,2.1404,2.4786,20.433
Xp,8,6,4.7169,2.2121,2.4773,21.524
Xp,0,7,4.6765,1.7933,2.4701,21.022
Xp,1,7,4.7599,1.8441,2.4536,21.378
Xp,2,7,4.9394,1.8562,2.5046,19.611
Xp,3,7,4.9394,1.9312,2.5046,19.611
Xp,4,7,4.9382,1.9699,2.4969,19.611
Xp,5,7,4.9299,2.0282,2.4951,19.936
Xp,6,7,4.9085,2.0742,2.4650,19.936
Xp,7,7,4.8447,2.1290,2.4611,20.433
Xp,8,7,4.7534,2.1995,2.4604,20.433
Xp,0,8,4.6960,1.8023,2.4562,21.022
Xp,1,8,4.7926,1.8474,2.4373,22.265
Xp,2,8,5.0056,1.8563,2.4910,19.661
Xp,3,8,5.0065,1.9312,2.4907,19.661
Xp,4,8,5.0035,1.9679,2.4819,19.661
Xp,5,8,4.9914,2.0214,2.4801,20.062
Xp,6,8,4.9633,2.0664,2.4477,21.077
Xp,7,8,4.8886,2.1185,2.4439,21.991
Xp,8,8,4.7874,2.1875,2.4441,22.106
Xp,0,9,4.7099,1.8108,2.4441,22.396
Xp,1,9,4.8228,1.8495,2.4212,22.265
Xp,2,9,5.0699,1.8561,2.4766,19.661
Xp,3,9,5.0737,1.9308,2.4755,19.661
Xp,4,9,5.0683,1.9662,2.4657,19.661
Xp,5,9,5.0512,2.0148,2.4639,20.062
Xp,6,9,5.0151,2.0591,2.4295,21.009
Xp,7,9,4.9292,2.1088,2.4264,21.991
Xp,8,9,4.8184,2.1761,2.4280,22.106
Xp,0,10,4.7208,1.8185,2.4329,22.396
Xp,1,10,4.8509,1.8506,2.4052,20.578
Xp,2,10,5.1303,1.8556,2.4616,19.748
Xp,3,10,5.1398,1.9300,2.4590,19.748
Xp,4,10,5.1315,1.9645,2.4481,20.397
Xp,5,10,5.1087,2.0083,2.4467,20.991
Xp,6,10,5.0640,2.0522,2.4107,21.009
Xp,7,10,4.9672,2.0999,2.4086,21.991
Xp,8,10,4.8470,2.1654,2.4119,22.106
Xp,0,11,4.7298,1.8256,2.4222,22.265
Xp,1,11,4.8770,1.8511,2.3893,20.578
Xp,2,11,5.1862,1.8549,2.4462,20.397
Xp,3,11,5.2042,1.9287,2.4413,20.397
Xp,4,11,5.1923,1.9628,2.4293,20.397
Xp,5,11,5.1629,2.0020,2.4285,20.991
Xp,6,11,5.1104,2.0456,2.3912,20.991
Xp,7,11,5.0035,2.0916,2.3904,22.043
Xp,8,11,4.8736,2.1552,2.3959,21.991
Xp,0,12,4.7378,1.8319,2.4115,22.265
Xp,1,12,4.9020,1.8510,2.3731,20.578
Xp,2,12,5.2359,1.8540,2.4306,20.367
Xp,3,12,5.2659,1.9270,2.4223,20.367
Xp,4,12,5.2509,1.9608,2.4093,20.367
Xp,5,12,5.2145,1.9960,2.4094,21.015
Xp,6,12,5.1543,2.0391,2.3712,20.991
Xp,7,12,5.0389,2.0839,2.3716,21.009
Xp,8,12,4.8980,2.1457,2.3801,21.991
Xp,0,13,4.7458,1.8373,2.4005,22.265
Xp,1,13,4.9254,1.8507,2.3570,20.578
Xp,2,13,5.2786,1.8531,2.4154,20.367
Xp,3,13,5.3251,1.9248,2.4024,20.367
Xp,4,13,5.3075,1.9585,2.3886,20.367
Xp,5,13,5.2640,1.9902,2.3897,21.015
Xp,6,13,5.1961,2.0328,2.3510,20.991
Xp,7,13,5.0737,2.0767,2.3524,21.009
Xp,8,13,4.9205,2.1367,2.3644,21.991
Xp,0,14,4.7546,1.8418,2.3892,22.265
Xp,1,14,4.9474,1.8503,2.3409,20.578
Xp,2,14,5.3138,1.8522,2.4009,20.367
Xp,3,14,5.3821,1.9223,2.3817,20.372
Xp,4,14,5.3622,1.9559,2.3672,20.372
Xp,5,14,5.3119,1.9846,2.3694,21.015
Xp,6,14,5.2360,2.0266,2.3307,21.015
Xp,7,14,5.1080,2.0698,2.3330,20.991
Xp,8,14,4.9414,2.1281,2.3488,21.991
Xp,0,15,4.7648,1.8453,2.3774,22.265
Xp,1,15,4.9681,1.8500,2.3250,22.485
Xp,2,15,5.3428,1.8514,2.3872,20.372
Xp,3,15,5.4369,1.9194,2.3605,20.372
Xp,4,15,5.4154,1.9529,2.3454,20.372
Xp,5,15,5.3587,1.9794,2.3486,21.073
Xp,6,15,5.2743,2.0206,2.3104,21.431
Xp,7,15,5.1419,2.0631,2.3133,21.463
Xp,8,15,4.9613,2.1200,2.3334,21.991
Xp,0,16,4.7763,1.8477,2.3650,22.265
Xp,1,16,4.9883,1.8495,2.3093,22.509
Xp,2,16,5.3669,1.8507,2.3740,20.372
Xp,3,16,5.4900,1.9162,2.3389,20.475
Xp,4,16,5.4671,1.9498,2.3233,20.712
Xp,5,16,5.4048,1.9745,2.3274,21.433
Xp,6,16,5.3116,2.0148,2.2904,21.431
Xp,7,16,5.1756,2.0567,2.2936,21.463
Xp,8,16,4.9812,2.1123,2.3180,22.523
Xp,0,17,4.7882,1.8495,2.3527,22.265
Xp,1,17,5.0072,1.8491,2.2939,22.509
Xp,2,17,5.3875,1.8501,2.3612,20.372
Xp,3,17,5.5413,1.9128,2.3170,20.712
Xp,4,17,5.5175,1.9463,2.3012,20.712
Xp,5,17,5.4509,1.9699,2.3059,20.712
Xp,6,17,5.3480,2.0091,2.2705,21.433
Xp,7,17,5.2089,2.0504,2.2739,21.463
Xp,8,17,5.0012,2.1049,2.3025,22.523
Xp,0,18,4.7998,1.8506,2.3405,20.978
Xp,1,18,5.0252,1.8486,2.2787,22.509
Xp,2,18,5.4041,1.8497,2.3493,22.832
Xp,3,18,5.5911,1.9091,2.2952,20.760
Xp,4,18,5.5670,1.9427,2.2790,20.712
Xp,5,18,5.4971,1.9656,2.2842,20.712
Xp,6,18,5.3834,2.0036,2.2508,21.433
Xp,7,18,5.2415,2.0443,2.2542,21.431
Xp,8,18,5.0215,2.0977,2.2868,22.523
Xp,0,19,4.8114,1.8511,2.3284,21.592
Xp,1,19,5.0412,1.8483,2.2642,22.509
Xp,2,19,5.4190,1.8494,2.3379,22.832
Xp,3,19,5.6396,1.9053,2.2736,20.760
Xp,4,19,5.6152,1.9389,2.2571,20.760
Xp,5,19,5.5434,1.9614,2.2622,20.712
Xp,6,19,5.4178,1.9983,2.2313,21.433
Xp,7,19,5.2732,2.0384,2.2348,21.431
Xp,8,19,5.0424,2.0907,2.2708,22.523
Xp,0,20,4.8231,1.8512,2.3164,21.592
Xp,1,20,5.0560,1.8481,2.2501,22.509
Xp,2,20,5.4330,1.8492,2.3265,22.705
Xp,3,20,5.6867,1.9014,2.2523,20.760
Xp,4,20,5.6620,1.9350,2.2353,20.760
Xp,5,20,5.5893,1.9573,2.2402,20.760
Xp,6,20,5.4516,1.9931,2.2120,21.521
Xp,7,20,5.3040,2.0325,2.2156,21.431
Xp,8,20,5.0643,2.0839,2.2543,21.537
Xp,0,21,4.8347,1.8510,2.3045,21.592
Xp,1,21,5.0694,1.8480,2.2363,22.509
Xp,2,21,5.4471,1.8489,2.3151,22.705
Xp,3,21,5.7322,1.8974,2.2312,20.839
Xp,4,21,5.7073,1.9310,2.2138,20.839
Xp,5,21,5.6345,1.9532,2.2183,20.760
Xp,6,21,5.4847,1.9881,2.1927,21.811
Xp,7,21,5.3338,2.0269,2.1965,21.810
Xp,8,21,5.0870,2.0772,2.2374,21.537
Xp,0,22,4.8458,1.8510,2.2927,21.592
Xp,1,22,5.0823,1.8479,2.2228,22.509
Xp,2,22,5.4613,1.8487,2.3036,22.826
Xp,3,22,5.7759,1.8935,2.2106,20.839
Xp,4,22,5.7507,1.9269,2.1927,21.052
Xp,5,22,5.6786,1.9491,2.1964,21.010
Xp,6,22,5.5177,1.9833,2.1733,21.811
Xp,7,22,5.3631,2.0213,2.1777,21.810
Xp,8,22,5.1103,2.0707,2.2201,21.463
Xp,0,23,4.8567,1.8509,2.2810,21.068
Xp,1,23,5.0934,1.8480,2.2099,22.590
Xp,2,23,5.4757,1.8485,2.2921,22.826
Xp,3,23,5.8176,1.8896,2.1903,21.546
Xp,4,23,5.7924,1.9229,2.1719,21.052
Xp,5,23,5.7216,1.9450,2.1747,21.052
Xp,6,23,5.5508,1.9785,2.1538,21.811
Xp,7,23,5.3918,2.0159,2.1589,21.810
Xp,8,23,5.1341,2.0643,2.2025,21.922
Xp,0,24,4.8684,1.8507,2.2688,21.068
Xp,1,24,5.1033,1.8482,2.1975,22.590
Xp,2,24,5.4903,1.8483,2.2805,22.826
Xp,3,24,5.8577,1.8858,2.1705,21.546
Xp,4,24,5.8324,1.9190,2.1516,21.546
Xp,5,24,5.7631,1.9409,2.1533,21.052
Xp,6,24,5.5842,1.9739,2.1339,21.843
Xp,7,24,5.4199,2.0106,2.1404,21.810
Xp,8,24,5.1580,2.0581,2.1847,21.922
Xp,0,25,4.8807,1.8503,2.2561,21.068
Xp,1,25,5.1119,1.8485,2.1854,22.590
Xp,2,25,5.5059,1.8480,2.2687,22.826
Xp,3,25,5.8960,1.8821,2.1511,21.546
Xp,4,25,5.8707,1.9152,2.1317,21.546
Xp,5,25,5.8031,1.9368,2.1324,21.052
Xp,6,25,5.6180,1.9694,2.1138,21.010
Xp,7,25,5.4475,2.0055,2.1220,21.810
Xp,8,25,5.1817,2.0519,2.1669,21.922
Xp,0,26,4.8931,1.8499,2.2432,22.485
Xp,1,26,5.1199,1.8488,2.1735,22.590
Xp,2,26,5.5211,1.8478,2.2570,22.826
Xp,3,26,5.9328,1.8786,2.1321,21.703
Xp,4,26,5.9074,1.9116,2.1122,21.546
Xp,5,26,5.8416,1.9329,2.1119,21.546
Xp,6,26,5.6525,1.9649,2.0933,21.010
Xp,7,26,5.4746,2.0005,2.1037,21.811
Xp,8,26,5.2051,2.0459,2.1492,21.922
Xp,0,27,4.9049,1.8497,2.2303,22.485
Xp,1,27,5.1273,1.8492,2.1619,22.590
Xp,2,27,5.5358,1.8477,2.2456,22.826
Xp,3,27,5.9682,1.8752,2.1134,21.703
Xp,4,27,5.9427,1.9082,2.0931,21.703
Xp,5,27,5.8784,1.9292,2.0918,21.546
Xp,6,27,5.6872,1.9605,2.0725,21.288
Xp,7,27,5.5012,1.9956,2.0856,22.109
Xp,8,27,5.2280,2.0400,2.1316,21.850
Xp,0,28,4.9159,1.8496,2.2175,22.485
Xp,1,28,5.1343,1.8496,2.1503,22.590
Xp,2,28,5.5502,1.8477,2.2344,22.826
Xp,3,28,6.0023,1.8720,2.0950,21.703
Xp,4,28,5.9767,1.9050,2.0743,21.798
Xp,5,28,5.9138,1.9256,2.0721,21.648
Xp,6,28,5.7221,1.9562,2.0515,21.300
Xp,7,28,5.5273,1.9909,2.0676,22.109
Xp,8,28,5.2502,2.0342,2.1142,21.850
Xp,0,29,4.9264,1.8493,2.2048,22.619
Xp,1,29,5.1411,1.8499,2.1388,22.590
Xp,2,29,5.5643,1.8477,2.2234,22.826
Xp,3,29,6.0351,1.8690,2.0769,21.798
Xp,4,29,6.0096,1.9019,2.0559,21.798
Xp,5,29,5.9479,1.9222,2.0528,21.798
Xp,6,29,5.7569,1.9520,2.0306,21.300
Xp,7,29,5.5532,1.9862,2.0495,22.109
Xp,8,29,5.2718,2.0284,2.0970,21.850
Xp,0,30,4.9364,1.8490,2.1922,22.619
Xp,1,30,5.1481,1.8501,2.1271,21.218
Xp,2,30,5.5780,1.8477,2.2125,22.873
Xp,3,30,6.0669,1.8661,2.0590,21.993
Xp,4,30,6.0414,1.8989,2.0377,21.798
Xp,5,30,5.9809,1.9190,2.0339,21.798
Xp,6,30,5.7912,1.9479,2.0097,21.300
Xp,7,30,5.5791,1.9817,2.0313,22.106
Xp,8,30,5.2927,2.0228,2.0799,22.240
Xp,0,31,4.9450,1.8490,2.1800,22.619
Xp,1,31,5.1553,1.8502,2.1152,21.218
Xp,2,31,5.5915,1.8478,2.2018,22.660
Xp,3,31,6.0976,1.8633,2.0414,21.993
Xp,4,31,6.0724,1.8961,2.0197,21.993
Xp,5,31,6.0127,1.9159,2.0152,21.798
Xp,6,31,5.8247,1.9440,1.9890,21.648
Xp,7,31,5.6051,1.9772,2.0128,22.106
Xp,8,31,5.3132,2.0172,2.0630,22.240
Xp,0,32,4.9530,1.8490,2.1681,22.619
Xp,1,32,5.1628,1.8502,2.1033,21.218
Xp,2,32,5.6047,1.8479,2.1912,22.660
Xp,3,32,6.1272,1.8606,2.0241,21.993
Xp,4,32,6.1024,1.8933,2.0019,21.993
Xp,5,32,6.0435,1.9130,1.9968,21.798
Xp,6,32,5.8574,1.9402,1.9687,21.783
Xp,7,32,5.6316,1.9727,1.9940,22.106
Xp,8,32,5.3332,2.0117,2.0462,22.172
Xp,0,33,4.9602,1.8492,2.1565,22.619
Xp,1,33,5.1705,1.8501,2.0912,21.218
Xp,2,33,5.6183,1.8479,2.1805,22.660
Xp,3,33,6.1557,1.8580,2.0070,21.993
Xp,4,33,6.1317,1.8906,1.9843,21.993
Xp,5,33,6.0734,1.9102,1.9787,21.993
Xp,6,33,5.8888,1.9367,1.9487,21.783
Xp,7,33,5.6586,1.9683,1.9748,21.288
Xp,8,33,5.3529,2.0063,2.0296,22.172
Xp,0,34,4.9671,1.8495,2.1451,22.619
Xp,1,34,5.1784,1.8499,2.0790,22.598
Xp,2,34,5.6323,1.8478,2.1697,22.660
Xp,3,34,6.1832,1.8555,1.9902,22.119
Xp,4,34,6.1602,1.8881,1.9668,22.051
Xp,5,34,6.1024,1.9075,1.9607,22.051
Xp,6,34,5.9192,1.9333,1.9291,21.783
Xp,7,34,5.6863,1.9639,1.9551,21.573
Xp,8,34,5.3722,2.0010,2.0130,22.172
Xp,0,35,4.9739,1.8497,2.1337,22.588
Xp,1,35,5.1860,1.8497,2.0670,22.598
Xp,2,35,5.6465,1.8476,2.1589,22.660
Xp,3,35,6.2097,1.8531,1.9736,22.119
Xp,4,35,6.1880,1.8856,1.9495,22.131
Xp,5,35,6.1306,1.9049,1.9429,22.051
Xp,6,35,5.9486,1.9301,1.9098,21.923
Xp,7,35,5.7145,1.9596,1.9351,21.563
Xp,8,35,5.3914,1.9958,1.9965,22.172
Xp,0,36,4.9806,1.8500,2.1223,21.357
Xp,1,36,5.1931,1.8496,2.0551,22.598
Xp,2,36,5.6611,1.8473,2.1481,22.660
