x,y,z,ux,uy,uz,speed,T
60.0,0.0,110.0,-0.8163,0.0800,0.5720,0.1782,23.17
60.0,60.0,110.0,0.1125,0.9612,-0.2519,0.0833,23.11
60.0,120.0,110.0,0.4614,0.8799,-0.1132,0.1264,23.18
60.0,180.0,110.0,0.5116,0.8432,0.1651,0.0959,23.24
60.0,240.0,110.0,0.3063,0.4845,0.8194,0.0511,23.38
120.0,0.0,110.0,-0.8184,0.0291,0.5740,0.2105,23.14
120.0,60.0,110.0,-0.3886,0.8078,-0.4432,0.0618,23.24
120.0,120.0,110.0,0.4938,0.7662,-0.4112,0.0861,23.41
120.0,180.0,110.0,0.6720,0.6079,-0.4229,0.1195,23.38
120.0,240.0,110.0,0.6116,0.5383,-0.5798,0.1004,23.40
120.0,300.0,110.0,0.6137,0.5234,-0.5911,0.0442,23.49
120.0,360.0,110.0,0.1208,0.0407,0.9918,0.0677,23.49
180.0,0.0,110.0,-0.7699,0.0174,0.6379,0.2322,23.14
180.0,60.0,110.0,-0.6833,0.7068,-0.1830,0.0497,23.37
180.0,120.0,110.0,0.8095,0.5426,-0.2244,0.0514,23.48
180.0,180.0,110.0,0.9049,0.1701,-0.3903,0.1028,23.54
180.0,240.0,110.0,0.7897,0.1442,-0.5962,0.1133,23.59
180.0,300.0,110.0,0.7738,0.1470,-0.6162,0.0753,23.65
240.0,0.0,110.0,-0.7111,0.0146,0.7030,0.2319,23.18
240.0,60.0,110.0,-0.9298,0.3585,0.0833,0.0408,23.51
240.0,120.0,110.0,0.9528,-0.2792,-0.1193,0.0544,23.55
240.0,180.0,110.0,0.9039,-0.2964,-0.3083,0.1093,23.66
240.0,240.0,110.0,0.8803,-0.1701,-0.4428,0.1081,23.75
240.0,300.0,110.0,0.9630,-0.1869,-0.1941,0.0575,23.73
240.0,480.0,110.0,0.1714,0.0592,0.9834,0.0595,23.48
300.0,0.0,110.0,-0.6159,0.0025,0.7879,0.1999,23.26
300.0,120.0,110.0,0.6743,-0.7374,-0.0397,0.0908,23.68
300.0,180.0,110.0,0.7481,-0.6423,-0.1668,0.1028,23.79
300.0,240.0,110.0,0.8695,-0.4739,-0.1393,0.0725,23.79
300.0,300.0,110.0,0.8522,-0.5210,0.0485,0.0429,23.70
360.0,0.0,110.0,-0.3192,-0.0382,0.9469,0.1475,23.34
360.0,60.0,110.0,0.1463,-0.7999,-0.5819,0.0743,23.64
360.0,120.0,110.0,0.1776,-0.4060,-0.8965,0.2582,23.07
360.0,180.0,110.0,0.0312,-0.1586,-0.9868,0.5105,21.96
360.0,240.0,110.0,0.2543,-0.3325,-0.9082,0.0688,23.54
360.0,540.0,110.0,0.0394,0.0136,0.9991,0.1425,23.75
420.0,0.0,110.0,0.3193,-0.0381,0.9469,0.1475,23.34
420.0,60.0,110.0,-0.1473,-0.8003,-0.5812,0.0742,23.64
420.0,120.0,110.0,-0.1778,-0.4061,-0.8963,0.2582,23.07
420.0,180.0,110.0,-0.0311,-0.1587,-0.9868,0.5107,21.95
420.0,240.0,110.0,-0.2540,-0.3328,-0.9081,0.0687,23.54
420.0,540.0,110.0,-0.0474,0.0202,0.9987,0.1398,23.74
480.0,0.0,110.0,0.6158,0.0025,0.7879,0.1999,23.26
480.0,120.0,110.0,-0.6743,-0.7374,-0.0397,0.0909,23.68
480.0,180.0,110.0,-0.7481,-0.6423,-0.1668,0.1028,23.79
480.0,240.0,110.0,-0.8694,-0.4742,-0.1392,0.0725,23.79
480.0,300.0,110.0,-0.8883,-0.4586,0.0226,0.0467,23.71
480.0,540.0,110.0,-0.0220,0.0287,0.9993,0.1697,23.81
