pid,x,y,z,T,speed
0,432.8,184.0,257.5,19.43,1.291
0,426.6,185.7,257.1,20.51,1.124
0,420.4,187.4,256.6,20.51,0.805
0,417.7,189.8,265.9,20.26,0.805
0,414.8,192.4,267.0,20.20,1.615
0,411.9,192.1,267.0,20.20,1.703
0,409.0,194.7,267.0,20.20,1.703
0,409.0,194.5,267.0,20.20,1.703
0,409.0,194.2,267.0,20.20,1.703
0,409.0,193.9,267.0,20.20,1.703
0,409.0,193.6,267.0,20.20,1.703
0,409.0,193.4,267.0,20.20,1.703
0,409.0,193.1,267.0,20.20,1.703
0,409.0,192.8,267.0,20.20,1.703
0,409.0,192.5,267.0,20.20,1.703
0,409.0,192.3,267.0,20.20,1.703
0,409.0,192.0,267.0,20.26,1.703
0,409.0,191.7,267.0,20.26,1.615
0,409.0,191.4,267.0,20.26,1.615
0,409.0,191.2,267.0,20.26,1.615
0,409.0,190.9,267.0,20.26,1.615
0,409.0,190.6,267.0,20.26,1.615
0,409.0,193.3,267.0,20.20,1.615
0,409.0,193.0,267.0,20.20,1.703
0,409.0,192.7,267.0,20.20,1.703
0,409.0,192.5,267.0,20.20,1.703
0,409.0,192.2,267.0,20.20,1.703
0,409.0,191.9,267.0,20.26,1.703
0,409.0,191.6,267.0,20.26,1.615
0,409.0,191.3,267.0,20.26,1.615
0,409.0,191.1,267.0,20.26,1.615
0,409.0,190.8,267.0,20.26,1.615
0,409.0,190.5,267.0,20.26,1.615
0,409.0,193.2,267.0,20.20,1.615
0,409.0,192.9,267.0,20.20,1.703
0,409.0,192.7,267.0,20.20,1.703
0,409.0,192.4,267.0,20.20,1.703
0,409.0,192.1,267.0,20.20,1.703
0,409.0,194.8,267.0,20.20,1.703
0,409.0,194.5,267.0,20.20,1.703
0,409.0,194.2,267.0,20.20,1.703
0,409.0,193.9,267.0,20.20,1.703
0,409.0,193.7,267.0,20.20,1.703
0,409.0,193.4,267.0,20.20,1.703
0,409.0,193.1,267.0,20.20,1.703
0,409.0,192.8,267.0,20.20,1.703
0,409.0,192.6,267.0,20.20,1.703
0,409.0,192.3,267.0,20.20,1.703
0,409.0,192.0,267.0,20.20,1.703
0,409.0,194.7,267.0,20.20,1.703
0,409.0,194.4,267.0,20.20,1.703
0,409.0,194.1,267.0,20.20,1.703
0,409.0,193.9,267.0,20.20,1.703
0,409.0,193.6,267.0,20.20,1.703
0,409.0,193.3,267.0,20.20,1.703
0,409.0,193.0,267.0,20.20,1.703
0,409.0,192.8,267.0,20.20,1.703
0,409.0,192.5,267.0,20.20,1.703
0,409.0,192.2,267.0,20.20,1.703
0,409.0,191.9,267.0,20.26,1.703
0,409.0,191.7,267.0,20.26,1.615
0,409.0,191.4,267.0,20.26,1.615
0,409.0,191.1,267.0,20.26,1.615
0,409.0,190.8,267.0,20.26,1.615
0,409.0,190.6,267.0,20.26,1.615
0,409.0,193.2,267.0,20.20,1.615
0,409.0,193.0,267.0,20.20,1.703
0,409.0,192.7,267.0,20.20,1.703
0,409.0,192.4,267.0,20.20,1.703
0,409.0,192.1,267.0,20.20,1.703
0,409.0,194.8,267.0,20.20,1.703
0,409.0,194.5,267.0,20.20,1.703
0,409.0,194.2,267.0,20.20,1.703
0,409.0,194.0,267.0,20.20,1.703
0,409.0,193.7,267.0,20.20,1.703
0,409.0,193.4,267.0,20.20,1.703
0,409.0,193.2,267.0,20.20,1.703
0,409.0,192.9,267.0,20.20,1.703
0,409.0,192.6,267.0,20.20,1.703
0,409.0,192.3,267.0,20.20,1.703
0,409.0,192.1,267.0,20.20,1.703
0,409.0,194.7,267.0,20.20,1.703
0,409.0,194.4,267.0,20.20,1.703
0,409.0,194.2,267.0,20.20,1.703
0,409.0,193.9,267.0,20.20,1.703
0,409.0,193.6,267.0,20.20,1.703
0,409.0,193.3,267.0,20.20,1.703
0,409.0,193.1,267.0,20.20,1.703
0,409.0,192.8,267.0,20.20,1.703
0,409.0,192.5,267.0,20.20,1.703
0,409.0,192.2,267.0,20.20,1.703
0,409.0,192.0,267.0,20.26,1.703
0,409.0,191.7,267.0,20.26,1.615
0,409.0,191.4,267.0,20.26,1.615
0,409.0,191.1,267.0,20.26,1.615
0,409.0,190.9,267.0,20.26,1.615
0,409.0,190.6,267.0,20.26,1.615
0,409.0,193.3,267.0,20.20,1.615
0,409.0,193.0,267.0,20.20,1.703
0,409.0,192.7,267.0,20.20,1.703
0,409.0,192.4,267.0,20.20,1.703
0,409.0,192.2,267.0,20.20,1.703
0,409.0,191.9,267.0,20.26,1.703
0,409.0,191.6,267.0,20.26,1.615
0,409.0,191.3,267.0,20.26,1.615
0,409.0,191.1,267.0,20.26,1.615
0,409.0,190.8,267.0,20.26,1.615
0,409.0,190.5,267.0,20.26,1.615
0,409.0,193.2,267.0,20.20,1.615
0,409.0,192.9,267.0,20.20,1.703
0,409.0,192.6,267.0,20.20,1.703
0,409.0,192.4,267.0,20.20,1.703
0,409.0,192.1,267.0,20.20,1.703
0,409.0,194.8,267.0,20.20,1.703
