run_id,no,case,group,purpose,room_shape,room_Lx_m,room_Ly_m,room_Lz_m,room_volume_m3,rack_present,rack_x_cfd_m,rack_y_cfd_m,bed_w_m,bed_d_m,tier0_z_m,tier1_z_m,tier_pitch_m,canopy_h_m,canopy_d_1_m2,canopy_f_1_m,rack_top_open,fan_layout,fan_n_per_side,fans_on,fan_cmm_each,fan_cmm_total,fan_tilt_deg,fan_height_above_bed_m,fan_dia_m,fan_depth_m,fan_outlet_m_s,fan_thrust_N,fan_src_N_m3,fan_positions,ac_on,ac_x_cfd_m,ac_y_cfd_m,ac_z_m,ac_total_cmm,ac_supply_T_K,ac_direction,ac_slot_area_modeled_m2,ac_outlet_modeled_m_s,solver,turbulence,lighting_included,wall_T_K,rackwall_T_K,wall_heat_W,rackwall_heat_W,mesh_base_m,mesh_refined_m,mesh_cells,endTime_s,snapshots_in_window,wall_clock_s,err_E004_ac_vertical,err_E005_ac_slot_2x,err_E006_rackwall_heat
01_R0,1,R0,G0 기준선,빈 방 — 재배단도 팬도 없다. 기존 해석과 같은 조건이라 재배단 효과를 떼어 볼 수 있다,half_ellipse,8.0,5.7,2.7,96.65,0,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,none,1,0,0.0,0.0,0.0,0.18,0.2,0.08,0.0,0.0,0.0,,1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,180792,600,6,6531,1,1,0
02_R1,2,R1,G0 기준선,"재배단만, 팬 꺼짐 — 팬 효과를 재는 기준",half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,0,0.0,0.0,15.0,0.18,0.2,0.08,0.0,0.0,0.0,,1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,600,6,6321,1,1,1
03_F1,3,F1,G1 풍량,캐노피 0.3 m/s 를 노린 풍량 — 하한,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,3.6,14.4,15.0,0.18,0.2,0.08,1.91,0.1341,41.9,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,600,6,11837,1,1,1
04_F2,4,F2,G1 풍량,캐노피 0.4 m/s,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,4.8,19.2,15.0,0.18,0.2,0.08,2.546,0.2384,74.5,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,600,6,16003,1,1,1
05_F3,5,F3,G1 풍량,캐노피 0.5 m/s — 표준안,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,6.0,24.0,15.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,600,6,,1,1,1
06_F4,6,F4,G1 풍량,캐노피 0.6 m/s,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,7.2,28.8,15.0,0.18,0.2,0.08,3.82,0.5363,167.6,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,600,6,24074,1,1,1
07_F5,7,F5,G1 풍량,캐노피 0.8 m/s — 상추 생육 최적 보고값,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,9.6,38.4,15.0,0.18,0.2,0.08,5.093,0.9534,297.9,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,600,6,,1,1,1
08_F6,8,F6,G1 풍량,"캐노피 1.0 m/s — 상한, 과하면 여기서 드러난다",half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,12.0,48.0,15.0,0.18,0.2,0.08,6.366,1.4897,465.5,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,510,6,,1,1,1
09_S1,9,S1,G2 켜고 끄기,아래 단만 켬 — 위 단이 아래 단 기류에 묻어가는지,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,2,6.0,12.0,15.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,600,6,19883,1,1,1
10_S2,10,S2,G2 켜고 끄기,위 단만 켬 — 위에서 분 바람이 아래 단으로 떨어지는지,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,2,6.0,12.0,15.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,600,6,19255,1,1,1
11_S3,11,S3,G2 켜고 끄기,"송풍기만 켬, 흡입기 끔 — 흡입기가 정말 필요한지",half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,2,6.0,12.0,15.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,600,6,,1,1,1
12_S4,12,S4,G2 켜고 끄기,"흡입기만 켬, 송풍기 끔 — 당기기만으로 캐노피가 뚫리는지",half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,2,6.0,12.0,15.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,600,6,,1,1,1
13_S5,13,S5,G2 켜고 끄기,아래 단 송풍 + 위 단 흡입만 — 두 단을 하나의 흐름으로 묶을 수 있는지,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,2,6.0,12.0,15.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,600,6,,1,1,1
14_S6,14,S6,G2 켜고 끄기,송풍기만 켜고 풍량 두 배 — 대수를 줄이는 대신 세게 부는 안,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,2,12.0,24.0,15.0,0.18,0.2,0.08,6.366,1.4897,465.5,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,600,6,,1,1,1
15_L1,15,L1,G3 배치,양 끝 팬을 같은 방향으로 — 방 전체를 도는 순환형,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,ends,1,4,6.0,24.0,15.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.966,0.000,-0.259;1.300,2.000,0.730,-0.966,0.000,-0.259;-1.300,2.000,1.530,0.966,0.000,-0.259;1.300,2.000,1.530,-0.966,0.000,-0.259",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,600,6,,1,1,1
16_L2,16,L2,G3 배치,"각 단 상부에서 캐노피로 하방, 단당 2대",half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,top,1,4,6.0,24.0,0.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-0.600,2.000,1.100,0.000,0.000,-1.000;0.600,2.000,1.100,0.000,0.000,-1.000;-0.600,2.000,1.900,0.000,0.000,-1.000;0.600,2.000,1.900,0.000,0.000,-1.000",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,450,6,,1,1,1
17_L3,17,L3,G3 배치,상부 하방을 단당 4대로 나눔 — 합계 풍량은 L2 와 같다,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,top,2,8,3.0,24.0,0.0,0.18,0.2,0.08,1.592,0.0931,29.1,"-0.900,2.000,1.100,0.000,0.000,-1.000;-0.300,2.000,1.100,0.000,0.000,-1.000;0.300,2.000,1.100,0.000,0.000,-1.000;0.900,2.000,1.100,0.000,0.000,-1.000;-0.900,2.000,1.900,0.000,0.000,-1.000;-0.300,2.000,1.900,0.000,0.000,-1.000;0.300,2.000,1.900,0.000,0.000,-1.000;0.900,2.000,1.900,0.000,0.000,-1.000",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,600,6,,1,1,1
18_T1,18,T1,G4 각도,수평 취출 — 기울임이 필요한지 판단,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,6.0,24.0,0.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,1.000,0.000,-0.000;1.300,2.000,0.730,-1.000,0.000,-0.000;-1.300,2.000,1.530,1.000,0.000,-0.000;1.300,2.000,1.530,-1.000,0.000,-0.000",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,,,0,,1,1,1
19_T2,19,T2,G4 각도,30도 하방 — 과하면 바닥으로 빠진다,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,6.0,24.0,30.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.866,0.000,-0.500;1.300,2.000,0.730,-0.866,0.000,-0.500;-1.300,2.000,1.530,0.866,0.000,-0.500;1.300,2.000,1.530,-0.866,0.000,-0.500",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,600,6,21048,1,1,1
20_T3,20,T3,G4 각도,45도 하방 — 캐노피를 찌르는 쪽으로 기울인 극단,half_ellipse,8.0,5.7,2.7,96.65,1,0.0,2.0,2.4,0.8,0.55,1.35,0.8,0.25,25.0,1.3,1,pushpull,1,4,6.0,24.0,45.0,0.18,0.2,0.08,3.183,0.3724,116.4,"-1.300,2.000,0.730,0.707,0.000,-0.707;1.300,2.000,0.730,-0.707,0.000,-0.707;-1.300,2.000,1.530,0.707,0.000,-0.707;1.300,2.000,1.530,-0.707,0.000,-0.707",1,0.0,2.0,2.7,25,289.5,vertical_down,0.06,1.74,buoyantPimpleFoam,kEpsilon,0,302.0,302.0,1458.5,278.3,0.1,0.05,177584,60,0,3028,1,1,1
