run_id,plane,tier,t_s,x_m,y_m,z_m,Ux,Uy,Uz,magU,T_K,in_bed,in_window
01_R0,tier0_canopy_mid,0,300,-1.2,1.6,0.675,0.085849,0.0020487,-0.028831,0.090584,297.824,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,1.6,0.675,0.084744,-0.0021811,-0.029138,0.08964,297.838,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,1.6,0.675,0.083512,-0.0064893,-0.029373,0.088764,297.852,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,1.6,0.675,0.082009,-0.010993,-0.029511,0.087848,297.866,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,1.6,0.675,0.080254,-0.015737,-0.029531,0.08695,297.88,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,1.6,0.675,0.078239,-0.020721,-0.029417,0.086116,297.895,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,1.6,0.675,0.07594,-0.025933,-0.029178,0.085386,297.91,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,1.6,0.675,0.07333,-0.031345,-0.028873,0.084814,297.924,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,1.6,0.675,0.070368,-0.036926,-0.028654,0.084476,297.938,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.6,0.675,0.066991,-0.04266,-0.028823,0.08449,297.951,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,1.65,0.675,0.089358,0.00038651,-0.029555,0.09412,297.828,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,1.7,0.675,0.092803,-0.0009064,-0.030229,0.097606,297.834,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,1.65,0.675,0.087549,-0.0036951,-0.029625,0.0925,297.842,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,1.65,0.675,0.085707,-0.0078353,-0.02967,0.091035,297.856,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,1.7,0.675,0.090574,-0.0048002,-0.030168,0.095587,297.848,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,1.7,0.675,0.088279,-0.0087799,-0.030076,0.093674,297.861,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,1.65,0.675,0.083609,-0.01214,-0.029645,0.089536,297.87,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,1.65,0.675,0.08129,-0.016655,-0.029515,0.088072,297.884,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,1.7,0.675,0.08569,-0.012906,-0.029914,0.091675,297.875,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,1.7,0.675,0.082866,-0.017217,-0.029653,0.08968,297.89,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,1.65,0.675,0.078737,-0.021392,-0.029262,0.08668,297.899,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,1.65,0.675,0.075911,-0.026343,-0.028895,0.085389,297.914,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,1.7,0.675,0.079804,-0.021726,-0.029273,0.087736,297.904,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,1.7,0.675,0.076463,-0.026433,-0.02879,0.085873,297.919,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,1.65,0.675,0.07277,-0.031491,-0.028486,0.084253,297.928,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,1.65,0.675,0.06926,-0.036813,-0.028211,0.083355,297.942,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,1.7,0.675,0.072793,-0.031329,-0.02829,0.084147,297.933,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,1.7,0.675,0.068733,-0.036403,-0.02798,0.082658,297.947,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.65,0.675,0.065305,-0.042311,-0.028421,0.082841,297.954,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.7,0.675,0.064196,-0.041675,-0.028263,0.081588,297.959,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,1.75,0.675,0.095949,-0.0020206,-0.030766,0.10078,297.842,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,1.8,0.675,0.098688,-0.0029758,-0.031135,0.10353,297.85,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,1.75,0.675,0.093395,-0.0056897,-0.030606,0.098446,297.855,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,1.75,0.675,0.09074,-0.0094592,-0.030405,0.096165,297.868,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,1.8,0.675,0.095845,-0.0064015,-0.030887,0.1009,297.863,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,1.8,0.675,0.092876,-0.0099332,-0.030591,0.098287,297.876,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,1.75,0.675,0.087741,-0.01337,-0.03013,0.093729,297.882,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,1.75,0.675,0.084474,-0.017451,-0.029755,0.091245,297.896,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,1.8,0.675,0.089519,-0.013602,-0.030219,0.095456,297.889,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,1.8,0.675,0.085857,-0.01743,-0.029745,0.09252,297.903,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,1.75,0.675,0.080945,-0.021713,-0.029263,0.088769,297.91,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,1.75,0.675,0.077115,-0.026162,-0.02868,0.086335,297.925,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,1.8,0.675,0.081905,-0.021427,-0.029159,0.089542,297.917,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,1.8,0.675,0.077624,-0.025598,-0.028495,0.08656,297.931,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,1.75,0.675,0.072934,-0.03079,-0.028107,0.084008,297.939,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,1.75,0.675,0.068334,-0.035601,-0.027781,0.081907,297.952,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,1.8,0.675,0.072962,-0.029943,-0.027871,0.083647,297.945,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,1.8,0.675,0.067848,-0.034474,-0.027555,0.080939,297.957,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.75,0.675,0.063222,-0.040632,-0.028165,0.080257,297.963,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.8,0.675,0.06218,-0.039249,-0.028074,0.078708,297.967,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,1.85,0.675,0.10097,-0.0037803,-0.031322,0.10579,297.859,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,1.9,0.675,0.10278,-0.0044439,-0.031324,0.10754,297.868,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,1.85,0.675,0.097863,-0.0069547,-0.030992,0.10289,297.871,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,1.85,0.675,0.094608,-0.010233,-0.030613,0.099963,297.884,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,1.9,0.675,0.099431,-0.0073648,-0.030921,0.10439,297.88,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,1.9,0.675,0.095917,-0.010382,-0.030471,0.10117,297.893,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,1.85,0.675,0.090929,-0.013641,-0.030157,0.096766,297.897,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,1.85,0.675,0.086915,-0.017196,-0.029602,0.093414,297.911,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,1.9,0.675,0.091951,-0.013517,-0.029947,0.097645,297.905,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,1.9,0.675,0.087623,-0.016785,-0.02933,0.093913,297.918,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,1.85,0.675,0.082581,-0.020908,-0.028943,0.089969,297.924,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,1.85,0.675,0.07789,-0.02478,-0.02822,0.086472,297.938,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,1.9,0.675,0.082952,-0.020192,-0.028619,0.090043,297.931,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,1.9,0.675,0.077897,-0.023745,-0.027864,0.086071,297.944,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,1.85,0.675,0.072787,-0.028818,-0.027572,0.082997,297.951,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,1.85,0.675,0.067195,-0.033045,-0.027294,0.0797,297.963,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,1.9,0.675,0.072398,-0.027452,-0.027218,0.082072,297.957,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,1.9,0.675,0.066371,-0.031348,-0.027007,0.078213,297.968,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.85,0.675,0.061002,-0.037544,-0.027984,0.076902,297.971,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.9,0.675,0.059693,-0.035537,-0.0279,0.074864,297.975,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,1.95,0.675,0.10413,-0.0049789,-0.031143,0.1088,297.877,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,2.0,0.675,0.10503,-0.0054012,-0.030788,0.10958,297.886,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,1.95,0.675,0.10056,-0.0076481,-0.030678,0.10541,297.889,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,1.95,0.675,0.096814,-0.010402,-0.030172,0.10194,297.901,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,2.0,0.675,0.10127,-0.0078233,-0.030275,0.10599,297.897,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,2.0,0.675,0.097327,-0.010316,-0.029729,0.10229,297.909,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,1.95,0.675,0.092597,-0.013259,-0.029598,0.098112,297.913,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,1.95,0.675,0.087998,-0.016229,-0.02894,0.094045,297.926,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,2.0,0.675,0.092899,-0.012893,-0.029126,0.098208,297.921,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,2.0,0.675,0.088077,-0.015562,-0.028449,0.093857,297.932,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,1.95,0.675,0.083037,-0.019319,-0.028201,0.089798,297.938,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,1.95,0.675,0.077669,-0.022534,-0.027439,0.0854,297.95,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,2.0,0.675,0.082879,-0.018326,-0.027706,0.089289,297.944,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,2.0,0.675,0.077258,-0.021188,-0.026962,0.084526,297.956,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,1.95,0.675,0.071827,-0.025885,-0.026821,0.080923,297.962,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,1.95,0.675,0.06542,-0.029416,-0.026699,0.076537,297.972,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,2.0,0.675,0.071137,-0.024157,-0.026392,0.079627,297.967,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,2.0,0.675,0.064412,-0.027284,-0.026374,0.074758,297.977,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.95,0.675,0.058303,-0.033254,-0.027818,0.072656,297.979,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,2.0,0.675,0.056916,-0.030714,-0.027719,0.070364,297.982,1,1
01_R0,tier0_canopy_mid,0,300,-1.2,2.05,0.675,0.10551,-0.0057286,-0.03027,0.10992,297.894,1,1
01_R0,tier0_canopy_mid,0,300,-1.15,2.05,0.675,0.1016,-0.0079105,-0.029727,0.10615,297.905,1,1
01_R0,tier0_canopy_mid,0,300,-1.1,2.05,0.675,0.097495,-0.010148,-0.029161,0.10227,297.916,1,1
01_R0,tier0_canopy_mid,0,300,-1.05,2.05,0.675,0.092901,-0.012449,-0.028549,0.097983,297.927,1,1
01_R0,tier0_canopy_mid,0,300,-1.0,2.05,0.675,0.087909,-0.014817,-0.027875,0.093405,297.939,1,1
01_R0,tier0_canopy_mid,0,300,-0.95,2.05,0.675,0.082536,-0.017251,-0.027151,0.088583,297.95,1,1
01_R0,tier0_canopy_mid,0,300,-0.9,2.05,0.675,0.076729,-0.01975,-0.026444,0.083526,297.961,1,1
01_R0,tier0_canopy_mid,0,300,-0.85,2.05,0.675,0.070405,-0.022316,-0.025937,0.078279,297.972,1,1
01_R0,tier0_canopy_mid,0,300,-0.8,2.05,0.675,0.063445,-0.024995,-0.026021,0.072987,297.981,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,2.05,0.675,0.055655,-0.027943,-0.027563,0.068102,297.985,1,1
01_R0,tier0_canopy_mid,0,300,-0.7,1.6,0.675,0.0631,-0.048597,-0.029959,0.085093,297.961,1,1
01_R0,tier0_canopy_mid,0,300,-0.65,1.6,0.675,0.058495,-0.054882,-0.033333,0.086861,297.963,1,1
01_R0,tier0_canopy_mid,0,300,-0.6,1.6,0.675,0.052778,-0.061637,-0.041888,0.09132,297.948,1,1
01_R0,tier0_canopy_mid,0,300,-0.55,1.6,0.675,0.045412,-0.068624,-0.060864,0.10235,297.896,1,1
01_R0,tier0_canopy_mid,0,300,-0.5,1.6,0.675,0.036074,-0.075092,-0.096019,0.12712,297.781,1,1
01_R0,tier0_canopy_mid,0,300,-0.45,1.6,0.675,0.024959,-0.08025,-0.15094,0.17276,297.582,1,1
01_R0,tier0_canopy_mid,0,300,-0.4,1.6,0.675,0.012737,-0.08398,-0.22672,0.24211,297.284,1,1
01_R0,tier0_canopy_mid,0,300,-0.35,1.6,0.675,0.00071762,-0.086929,-0.32189,0.33342,296.877,1,1
01_R0,tier0_canopy_mid,0,300,-0.3,1.6,0.675,-0.0086878,-0.089627,-0.43004,0.43936,296.373,1,1
01_R0,tier0_canopy_mid,0,300,-0.25,1.6,0.675,-0.013044,-0.090397,-0.53399,0.54174,295.848,1,1
01_R0,tier0_canopy_mid,0,300,-0.7,1.65,0.675,0.060781,-0.048051,-0.029801,0.083014,297.963,1,1
01_R0,tier0_canopy_mid,0,300,-0.7,1.7,0.675,0.059038,-0.047231,-0.029956,0.081324,297.966,1,1
01_R0,tier0_canopy_mid,0,300,-0.75,1.7,0.675,0.064196,-0.041675,-0.028263,0.081588,297.959,1,1
01_R0,tier0_canopy_mid,0,300,-0.65,1.65,0.675,0.05544,-0.054173,-0.03391,0.084606,297.963,1,1
01_R0,tier0_canopy_mid,0,300,-0.6,1.65,0.675,0.048814,-0.060698,-0.044236,0.089576,297.941,1,1
01_R0,tier0_canopy_mid,0,300,-0.65,1.7,0.675,0.052958,-0.053191,-0.034966,0.082803,297.962,1,1
01_R0,tier0_canopy_mid,0,300,-0.6,1.7,0.675,0.045436,-0.059456,-0.047343,0.088548,297.932,1,1
01_R0,tier0_canopy_mid,0,300,-0.55,1.65,0.675,0.040356,-0.067185,-0.066327,0.10267,297.875,1,1
01_R0,tier0_canopy_mid,0,300,-0.5,1.65,0.675,0.029843,-0.072735,-0.10541,0.1315,297.74,1,1
01_R0,tier0_canopy_mid,0,300,-0.55,1.7,0.675,0.035967,-0.06538,-0.072809,0.10426,297.852,1,1
01_R0,tier0_canopy_mid,0,300,-0.5,1.7,0.675,0.024449,-0.069972,-0.11602,0.13767,297.698,1,1
01_R0,tier0_canopy_mid,0,300,-0.45,1.65,0.675,0.017552,-0.07663,-0.16426,0.18211,297.516,1,1
01_R0,tier0_canopy_mid,0,300,-0.4,1.65,0.675,0.0042596,-0.078977,-0.24351,0.25603,297.187,1,1
01_R0,tier0_canopy_mid,0,300,-0.45,1.7,0.675,0.011196,-0.07265,-0.17925,0.19374,297.451,1,1
01_R0,tier0_canopy_mid,0,300,-0.4,1.7,0.675,-0.002745,-0.073665,-0.26245,0.27261,297.095,1,1
01_R0,tier0_canopy_mid,0,300,-0.35,1.65,0.675,-0.0083072,-0.080457,-0.34038,0.34986,296.745,1,1
01_R0,tier0_canopy_mid,0,300,-0.3,1.65,0.675,-0.017513,-0.081649,-0.44777,0.45549,296.203,1,1
01_R0,tier0_canopy_mid,0,300,-0.35,1.7,0.675,-0.01519,-0.07361,-0.36161,0.36934,296.63,1,1
01_R0,tier0_canopy_mid,0,300,-0.3,1.7,0.675,-0.023675,-0.073114,-0.4697,0.47595,296.065,1,1
01_R0,tier0_canopy_mid,0,300,-0.25,1.65,0.675,-0.021324,-0.081741,-0.55013,0.55658,295.627,1,1
01_R0,tier0_canopy_mid,0,300,-0.25,1.7,0.675,-0.026952,-0.072355,-0.57232,0.57751,295.458,1,1
01_R0,tier0_canopy_mid,0,300,-0.7,1.75,0.675,0.05743,-0.045987,-0.030232,0.079542,297.968,1,1
01_R0,tier0_canopy_mid,0,300,-0.7,1.8,0.675,0.055767,-0.044393,-0.03058,0.077562,297.971,1,1
01_R0,tier0_canopy_mid,0,300,-0.65,1.75,0.675,0.050612,-0.05176,-0.036281,0.080975,297.961,1,1
01_R0,tier0_canopy_mid,0,300,-0.6,1.75,0.675,0.042238,-0.057721,-0.050898,0.087786,297.921,1,1
01_R0,tier0_canopy_mid,0,300,-0.65,1.8,0.675,0.04823,-0.049973,-0.037811,0.079076,297.958,1,1
01_R0,tier0_canopy_mid,0,300,-0.6,1.8,0.675,0.039071,-0.055635,-0.054835,0.087343,297.909,1,1
01_R0,tier0_canopy_mid,0,300,-0.55,1.75,0.675,0.031899,-0.063049,-0.079793,0.10658,297.827,1,1
01_R0,tier0_canopy_mid,0,300,-0.5,1.75,0.675,0.019592,-0.066704,-0.12695,0.14474,297.654,1,1
