run_id,plane,tier,t_s,x_m,y_m,z_m,Ux,Uy,Uz,magU,T_K,in_bed,in_window
05_F3,tier0_canopy_mid,0,300,-1.2,1.6,0.675,0,0,0,0,302,1,1
05_F3,tier0_canopy_mid,0,300,-1.15,1.6,0.675,-8.5711e-18,1.0866e-17,2.8049e-17,3.1278e-17,302,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,1.6,0.675,0,0,0,0,302,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,1.6,0.675,0.017264,0.068255,0.1186,0.13792,298.582,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,1.6,0.675,0.061295,-0.0095353,0.099401,0.11717,298.686,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,1.6,0.675,0.12812,-0.078809,0.07716,0.16905,298.779,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,1.6,0.675,0.18958,-0.12873,0.058477,0.2365,298.829,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,1.6,0.675,0.24776,-0.16406,0.044689,0.3005,298.856,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,1.6,0.675,0.30148,-0.18892,0.034806,0.35748,298.873,1,1
05_F3,tier0_canopy_mid,0,300,-0.75,1.6,0.675,0.34982,-0.20603,0.027728,0.40693,298.885,1,1
05_F3,tier0_canopy_mid,0,300,-1.2,1.65,0.675,0,0,0,0,302,1,1
05_F3,tier0_canopy_mid,0,300,-1.2,1.7,0.675,0,0,0,0,302,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,1.65,0.675,0.067006,0.010602,0.027411,0.073168,298.821,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,1.65,0.675,0,0,0,0,302,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,1.65,0.675,0.13333,-0.074701,0.012202,0.15332,298.856,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,1.7,0.675,0.14416,-0.068754,-0.044246,0.16573,298.902,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,1.7,0.675,0,0,0,0,302,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,1.7,0.675,0.2325,-0.13736,-0.045933,0.27392,298.884,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,1.65,0.675,0.2078,-0.13566,0.0013201,0.24817,298.881,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,1.65,0.675,0.27663,-0.17677,-0.0044607,0.32831,298.891,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,1.7,0.675,0.31942,-0.18646,-0.044712,0.37255,298.88,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,1.7,0.675,0.39715,-0.21915,-0.041486,0.4555,298.879,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,1.65,0.675,0.33973,-0.20458,-0.0068677,0.39663,298.896,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,1.65,0.675,0.39601,-0.22292,-0.0073567,0.4545,298.9,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,1.7,0.675,0.46475,-0.23986,-0.03709,0.52431,298.879,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,1.7,0.675,0.52221,-0.25187,-0.03226,0.58067,298.879,1,1
05_F3,tier0_canopy_mid,0,300,-0.75,1.65,0.675,0.44492,-0.23425,-0.0067969,0.50287,298.902,1,1
05_F3,tier0_canopy_mid,0,300,-0.75,1.7,0.675,0.56992,-0.25749,-0.027472,0.62599,298.879,1,1
05_F3,tier0_canopy_mid,0,300,-1.2,1.75,0.675,0.02963,0.14417,0.0043769,0.14725,298.778,1,1
05_F3,tier0_canopy_mid,0,300,-1.2,1.8,0.675,0.10931,0.14959,-0.024205,0.18685,298.713,1,1
05_F3,tier0_canopy_mid,0,300,-1.15,1.75,0.675,0.06781,0.031688,-0.083542,0.11217,298.991,1,1
05_F3,tier0_canopy_mid,0,300,-1.15,1.7,0.675,0,0,0,0,302,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,1.75,0.675,0.15996,-0.06067,-0.092854,0.19465,298.954,1,1
05_F3,tier0_canopy_mid,0,300,-1.15,1.8,0.675,0.25309,-0.0023857,-0.11386,0.27754,298.829,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,1.8,0.675,0.4033,-0.1234,-0.13315,0.44227,298.835,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,1.75,0.675,0.28727,-0.13849,-0.088974,0.33109,298.887,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,1.75,0.675,0.39798,-0.19665,-0.082486,0.45151,298.866,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,1.8,0.675,0.5431,-0.20328,-0.12858,0.59398,298.825,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,1.8,0.675,0.6592,-0.249,-0.11719,0.71434,298.819,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,1.75,0.675,0.49434,-0.23466,-0.074179,0.55222,298.857,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,1.75,0.675,0.57473,-0.2574,-0.065567,0.63314,298.853,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,1.8,0.675,0.75053,-0.27276,-0.10416,0.80532,298.816,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,1.8,0.675,0.82036,-0.28322,-0.091166,0.87265,298.815,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,1.75,0.675,0.64029,-0.26942,-0.057105,0.69701,298.851,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,1.75,0.675,0.69268,-0.27383,-0.049118,0.74646,298.85,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,1.8,0.675,0.87265,-0.28532,-0.078834,0.92149,298.815,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,1.8,0.675,0.91059,-0.28163,-0.067563,0.95554,298.816,1,1
05_F3,tier0_canopy_mid,0,300,-0.75,1.75,0.675,0.73343,-0.27281,-0.041812,0.78364,298.85,1,1
05_F3,tier0_canopy_mid,0,300,-0.75,1.8,0.675,0.9365,-0.27393,-0.057526,0.97744,298.818,1,1
05_F3,tier0_canopy_mid,0,300,-1.2,1.85,0.675,0.41157,0.014399,-0.11603,0.42786,298.671,1,1
05_F3,tier0_canopy_mid,0,300,-1.2,1.9,0.675,1.3117,-0.028484,-0.37672,1.365,298.634,1,1
05_F3,tier0_canopy_mid,0,300,-1.15,1.85,0.675,0.64598,-0.14231,-0.19754,0.69034,298.731,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,1.85,0.675,0.8186,-0.22875,-0.20752,0.87493,298.751,1,1
05_F3,tier0_canopy_mid,0,300,-1.15,1.9,0.675,1.4423,-0.18325,-0.38988,1.5052,298.67,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,1.9,0.675,1.5147,-0.24024,-0.34982,1.573,298.692,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,1.85,0.675,0.94728,-0.27051,-0.19323,1.0039,298.76,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,1.85,0.675,1.0397,-0.28659,-0.17238,1.0921,298.765,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,1.9,0.675,1.5517,-0.2563,-0.30257,1.6016,298.706,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,1.9,0.675,1.5638,-0.25428,-0.259,1.6054,298.716,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,1.85,0.675,1.102,-0.2889,-0.15071,1.1491,298.769,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,1.85,0.675,1.1417,-0.28467,-0.12998,1.1838,298.773,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,1.9,0.675,1.557,-0.24551,-0.22043,1.5915,298.724,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,1.9,0.675,1.538,-0.23633,-0.18611,1.5671,298.731,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,1.85,0.675,1.1651,-0.27667,-0.11094,1.2027,298.776,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,1.85,0.675,1.1764,-0.2656,-0.094108,1.2097,298.78,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,1.9,0.675,1.5124,-0.22601,-0.15603,1.5372,298.737,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,1.9,0.675,1.4823,-0.21306,-0.13057,1.5032,298.742,1,1
05_F3,tier0_canopy_mid,0,300,-0.75,1.85,0.675,1.1777,-0.25241,-0.079599,1.207,298.784,1,1
05_F3,tier0_canopy_mid,0,300,-0.75,1.9,0.675,1.4479,-0.19864,-0.10941,1.4655,298.748,1,1
05_F3,tier0_canopy_mid,0,300,-1.2,1.95,0.675,2.2483,0.099383,-0.63007,2.337,298.591,1,1
05_F3,tier0_canopy_mid,0,300,-1.2,2.0,0.675,2.5727,0.17349,-0.6547,2.6603,298.532,1,1
05_F3,tier0_canopy_mid,0,300,-1.15,1.95,0.675,2.2623,-0.027511,-0.56979,2.3332,298.619,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,1.95,0.675,2.2394,-0.084155,-0.48039,2.2919,298.64,1,1
05_F3,tier0_canopy_mid,0,300,-1.15,2.0,0.675,2.6039,0.13875,-0.58957,2.6734,298.558,1,1
05_F3,tier0_canopy_mid,0,300,-1.1,2.0,0.675,2.5802,0.11387,-0.49684,2.63,298.578,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,1.95,0.675,2.1833,-0.10572,-0.40392,2.2229,298.655,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,1.95,0.675,2.1099,-0.10747,-0.34249,2.1402,298.667,1,1
05_F3,tier0_canopy_mid,0,300,-1.05,2.0,0.675,2.5098,0.09672,-0.42252,2.5469,298.594,1,1
05_F3,tier0_canopy_mid,0,300,-1.0,2.0,0.675,2.4101,0.089467,-0.37477,2.4407,298.607,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,1.95,0.675,2.0264,-0.10431,-0.2899,2.0496,298.677,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,1.95,0.675,1.9416,-0.10771,-0.24144,1.9595,298.686,1,1
05_F3,tier0_canopy_mid,0,300,-0.95,2.0,0.675,2.2849,0.082444,-0.32677,2.3097,298.618,1,1
05_F3,tier0_canopy_mid,0,300,-0.9,2.0,0.675,2.1607,0.065972,-0.2649,2.1778,298.629,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,1.95,0.675,1.8626,-0.11084,-0.19924,1.8765,298.693,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,1.95,0.675,1.7878,-0.10794,-0.16518,1.7986,298.701,1,1
05_F3,tier0_canopy_mid,0,300,-0.85,2.0,0.675,2.0566,0.049484,-0.21227,2.0681,298.64,1,1
05_F3,tier0_canopy_mid,0,300,-0.8,2.0,0.675,1.9625,0.039378,-0.1733,1.9705,298.651,1,1
