run_id,plane,tier,t_s,x_m,y_m,z_m,Ux,Uy,Uz,magU,T_K,in_bed,in_window
17_L3,tier0_canopy_mid,0,300,-1.2,1.6,0.675,0,0,0,0,302,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.6,0.675,-2.5789e-18,-2.1061e-17,2.0899e-17,2.9782e-17,302,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.6,0.675,0,0,0,0,302,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.6,0.675,-0.1092,-0.28786,0.10308,0.32467,298.447,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.6,0.675,-0.10063,-0.25329,0.040566,0.27555,298.332,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.6,0.675,-0.083299,-0.2295,-0.00034357,0.24415,298.248,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.6,0.675,-0.04013,-0.21838,-0.031443,0.22426,298.177,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.6,0.675,0.015922,-0.23086,-0.048789,0.2365,298.14,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.6,0.675,0.071657,-0.26773,-0.044618,0.28073,298.147,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.6,0.675,0.11541,-0.31072,-0.027864,0.33263,298.183,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.65,0.675,0,0,0,0,302,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.7,0.675,0,0,0,0,302,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.65,0.675,-0.12271,-0.26585,0.097733,0.30868,298.45,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.65,0.675,0,0,0,0,302,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.65,0.675,-0.12051,-0.26156,0.022358,0.28886,298.338,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.7,0.675,-0.15779,-0.23305,0.054365,0.28665,298.407,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.7,0.675,0,0,0,0,302,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.7,0.675,-0.15274,-0.26516,-0.011061,0.30621,298.335,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.65,0.675,-0.10452,-0.25758,-0.020838,0.27876,298.269,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.65,0.675,-0.057377,-0.26076,-0.052943,0.2722,298.213,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.7,0.675,-0.12613,-0.28682,-0.051379,0.31752,298.287,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.7,0.675,-0.070896,-0.30813,-0.086928,0.32791,298.247,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.65,0.675,0.0083552,-0.27833,-0.071578,0.2875,298.182,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.65,0.675,0.074713,-0.31184,-0.065298,0.32725,298.186,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.7,0.675,0.0073485,-0.33268,-0.10971,0.35038,298.224,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.7,0.675,0.086411,-0.36111,-0.10015,0.38458,298.226,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.65,0.675,0.12664,-0.34553,-0.045146,0.37076,298.215,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.7,0.675,0.14714,-0.38246,-0.072822,0.41621,298.247,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.75,0.675,-0.26963,-0.097867,0.11773,0.31006,298.5,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.8,0.675,-0.22414,-0.085743,0.0575,0.24677,298.425,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.75,0.675,-0.24774,-0.1195,0.10398,0.29405,298.49,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.7,0.675,0,0,0,0,302,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.75,0.675,-0.2116,-0.1648,0.055751,0.27394,298.431,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.8,0.675,-0.22413,-0.11181,0.025925,0.25181,298.414,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.8,0.675,-0.21947,-0.15766,-0.010743,0.27044,298.388,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.75,0.675,-0.19584,-0.22028,-0.005653,0.2948,298.377,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.75,0.675,-0.18519,-0.26963,-0.051795,0.33118,298.342,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.8,0.675,-0.21918,-0.21121,-0.050171,0.30849,298.368,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.8,0.675,-0.21184,-0.26662,-0.093256,0.35308,298.351,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.75,0.675,-0.14834,-0.31415,-0.092782,0.35958,298.313,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.75,0.675,-0.0831,-0.35502,-0.14109,0.39096,298.29,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.8,0.675,-0.17348,-0.32884,-0.15177,0.40158,298.34,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.8,0.675,-0.09777,-0.38748,-0.22902,0.4606,298.334,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.75,0.675,0.01135,-0.38755,-0.17412,0.42502,298.276,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.75,0.675,0.10697,-0.40868,-0.15926,0.45147,298.275,1,1
17_L3,tier0_canopy_mid,0,300,-0.85,1.8,0.675,0.017914,-0.42662,-0.28106,0.51119,298.332,1,1
17_L3,tier0_canopy_mid,0,300,-0.8,1.8,0.675,0.136,-0.43863,-0.25657,0.52604,298.33,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.75,0.675,0.178,-0.41419,-0.11823,0.46607,298.285,1,1
17_L3,tier0_canopy_mid,0,300,-0.75,1.8,0.675,0.22,-0.4273,-0.19081,0.5171,298.329,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.85,0.675,-0.18299,-0.072318,0.020446,0.19782,298.383,1,1
17_L3,tier0_canopy_mid,0,300,-1.2,1.9,0.675,-0.14672,-0.039871,-0.0035497,0.15208,298.339,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.85,0.675,-0.1928,-0.097311,-0.018039,0.21672,298.375,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.85,0.675,-0.2103,-0.13416,-0.049443,0.2543,298.359,1,1
17_L3,tier0_canopy_mid,0,300,-1.15,1.9,0.675,-0.16463,-0.058641,-0.04839,0.18134,298.331,1,1
17_L3,tier0_canopy_mid,0,300,-1.1,1.9,0.675,-0.19817,-0.088317,-0.082313,0.23205,298.321,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.85,0.675,-0.23169,-0.18067,-0.085947,0.30612,298.349,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.85,0.675,-0.23906,-0.24051,-0.14696,0.36958,298.346,1,1
17_L3,tier0_canopy_mid,0,300,-1.05,1.9,0.675,-0.24042,-0.12765,-0.13167,0.30238,298.318,1,1
17_L3,tier0_canopy_mid,0,300,-1.0,1.9,0.675,-0.2659,-0.18057,-0.23384,0.39748,298.329,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.85,0.675,-0.20334,-0.31323,-0.24486,0.44656,298.353,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.85,0.675,-0.11671,-0.38226,-0.36945,0.54427,298.367,1,1
17_L3,tier0_canopy_mid,0,300,-0.95,1.9,0.675,-0.23363,-0.24365,-0.39618,0.52049,298.353,1,1
17_L3,tier0_canopy_mid,0,300,-0.9,1.9,0.675,-0.1365,-0.30394,-0.58495,0.67318,298.387,1,1
