run_id,plane,tier,t_s,x_m,y_m,z_m,Ux,Uy,Uz,magU,T_K,in_bed,in_window
19_T2,tier0_canopy_mid,0,300,-1.2,1.6,0.675,0,0,0,0,302,1,1
19_T2,tier0_canopy_mid,0,300,-1.15,1.6,0.675,1.9754e-17,8.3874e-18,-4.2446e-17,4.7563e-17,302,1,1
19_T2,tier0_canopy_mid,0,300,-1.1,1.6,0.675,0,0,0,0,302,1,1
19_T2,tier0_canopy_mid,0,300,-1.05,1.6,0.675,0.15996,-0.074333,-0.13723,0.22349,298.411,1,1
19_T2,tier0_canopy_mid,0,300,-1.0,1.6,0.675,0.2515,-0.1942,-0.094012,0.33137,298.428,1,1
19_T2,tier0_canopy_mid,0,300,-0.95,1.6,0.675,0.35869,-0.26355,-0.075359,0.45144,298.457,1,1
19_T2,tier0_canopy_mid,0,300,-0.9,1.6,0.675,0.44742,-0.30513,-0.065219,0.54547,298.485,1,1
19_T2,tier0_canopy_mid,0,300,-0.85,1.6,0.675,0.52073,-0.33094,-0.056755,0.6196,298.511,1,1
19_T2,tier0_canopy_mid,0,300,-0.8,1.6,0.675,0.5815,-0.34615,-0.048498,0.67846,298.536,1,1
19_T2,tier0_canopy_mid,0,300,-0.75,1.6,0.675,0.63105,-0.35384,-0.040528,0.72462,298.561,1,1
19_T2,tier0_canopy_mid,0,300,-1.2,1.65,0.675,0,0,0,0,302,1,1
19_T2,tier0_canopy_mid,0,300,-1.2,1.7,0.675,0,0,0,0,302,1,1
19_T2,tier0_canopy_mid,0,300,-1.05,1.65,0.675,0.25201,-0.21705,-0.10281,0.34812,298.624,1,1
19_T2,tier0_canopy_mid,0,300,-1.1,1.65,0.675,0,0,0,0,302,1,1
19_T2,tier0_canopy_mid,0,300,-1.0,1.65,0.675,0.36081,-0.307,-0.044394,0.47581,298.627,1,1
19_T2,tier0_canopy_mid,0,300,-1.05,1.7,0.675,0.42991,-0.37591,-0.065274,0.5748,298.763,1,1
19_T2,tier0_canopy_mid,0,300,-1.1,1.7,0.675,0,0,0,0,302,1,1
19_T2,tier0_canopy_mid,0,300,-1.0,1.7,0.675,0.52994,-0.41296,-0.045372,0.67337,298.737,1,1
19_T2,tier0_canopy_mid,0,300,-0.95,1.65,0.675,0.48067,-0.35752,-0.026763,0.59965,298.64,1,1
19_T2,tier0_canopy_mid,0,300,-0.9,1.65,0.675,0.5722,-0.38404,-0.021562,0.68946,298.652,1,1
19_T2,tier0_canopy_mid,0,300,-0.95,1.7,0.675,0.63634,-0.43695,-0.036059,0.77276,298.731,1,1
19_T2,tier0_canopy_mid,0,300,-0.9,1.7,0.675,0.71994,-0.4461,-0.031497,0.84754,298.731,1,1
19_T2,tier0_canopy_mid,0,300,-0.85,1.65,0.675,0.64284,-0.39625,-0.017892,0.75537,298.663,1,1
19_T2,tier0_canopy_mid,0,300,-0.8,1.65,0.675,0.69812,-0.3992,-0.014203,0.80433,298.675,1,1
19_T2,tier0_canopy_mid,0,300,-0.85,1.7,0.675,0.78287,-0.44404,-0.026929,0.90043,298.736,1,1
19_T2,tier0_canopy_mid,0,300,-0.8,1.7,0.675,0.82958,-0.4348,-0.021992,0.93687,298.742,1,1
19_T2,tier0_canopy_mid,0,300,-0.75,1.65,0.675,0.74039,-0.3959,-0.010603,0.83965,298.688,1,1
19_T2,tier0_canopy_mid,0,300,-0.75,1.7,0.675,0.86269,-0.42115,-0.017163,0.96015,298.749,1,1
19_T2,tier0_canopy_mid,0,300,-1.2,1.75,0.675,0.094809,0.036756,-0.077307,0.12773,298.76,1,1
19_T2,tier0_canopy_mid,0,300,-1.2,1.8,0.675,0.27716,-0.050733,-0.20178,0.34656,298.725,1,1
19_T2,tier0_canopy_mid,0,300,-1.15,1.75,0.675,0.28011,-0.21335,-0.017362,0.35253,298.821,1,1
19_T2,tier0_canopy_mid,0,300,-1.15,1.7,0.675,0,0,0,0,302,1,1
19_T2,tier0_canopy_mid,0,300,-1.1,1.75,0.675,0.48791,-0.37305,-0.033618,0.6151,298.811,1,1
19_T2,tier0_canopy_mid,0,300,-1.15,1.8,0.675,0.51716,-0.32999,-0.20201,0.64588,298.752,1,1
19_T2,tier0_canopy_mid,0,300,-1.1,1.8,0.675,0.72644,-0.47434,-0.18276,0.88664,298.766,1,1
19_T2,tier0_canopy_mid,0,300,-1.05,1.75,0.675,0.62609,-0.46118,-0.073226,0.78105,298.784,1,1
19_T2,tier0_canopy_mid,0,300,-1.0,1.75,0.675,0.734,-0.49117,-0.077627,0.88658,298.771,1,1
19_T2,tier0_canopy_mid,0,300,-1.05,1.8,0.675,0.88216,-0.53747,-0.16581,1.0462,298.775,1,1
19_T2,tier0_canopy_mid,0,300,-1.0,1.8,0.675,0.99186,-0.54775,-0.14567,1.1424,298.783,1,1
19_T2,tier0_canopy_mid,0,300,-0.95,1.75,0.675,0.82614,-0.49844,-0.070222,0.96741,298.769,1,1
19_T2,tier0_canopy_mid,0,300,-0.9,1.75,0.675,0.89697,-0.4916,-0.06125,1.0247,298.771,1,1
19_T2,tier0_canopy_mid,0,300,-0.95,1.8,0.675,1.0674,-0.53366,-0.12454,1.1998,298.79,1,1
19_T2,tier0_canopy_mid,0,300,-0.9,1.8,0.675,1.1161,-0.50875,-0.10503,1.2311,298.797,1,1
19_T2,tier0_canopy_mid,0,300,-0.85,1.75,0.675,0.94723,-0.47564,-0.052079,1.0612,298.775,1,1
19_T2,tier0_canopy_mid,0,300,-0.8,1.75,0.675,0.98059,-0.45451,-0.043222,1.0817,298.78,1,1
19_T2,tier0_canopy_mid,0,300,-0.85,1.8,0.675,1.144,-0.47903,-0.0877,1.2433,298.803,1,1
19_T2,tier0_canopy_mid,0,300,-0.8,1.8,0.675,1.1558,-0.4474,-0.072594,1.2415,298.809,1,1
19_T2,tier0_canopy_mid,0,300,-0.75,1.75,0.675,1.0002,-0.43086,-0.035129,1.0896,298.786,1,1
19_T2,tier0_canopy_mid,0,300,-0.75,1.8,0.675,1.1553,-0.41568,-0.059645,1.2293,298.815,1,1
19_T2,tier0_canopy_mid,0,300,-1.2,1.85,0.675,0.69596,-0.29292,-0.40762,0.85809,298.738,1,1
19_T2,tier0_canopy_mid,0,300,-1.2,1.9,0.675,1.5817,-0.36636,-0.85162,1.8334,298.763,1,1
19_T2,tier0_canopy_mid,0,300,-1.15,1.85,0.675,0.95701,-0.52477,-0.38367,1.1569,298.763,1,1
19_T2,tier0_canopy_mid,0,300,-1.1,1.85,0.675,1.153,-0.59457,-0.32855,1.3382,298.78,1,1
19_T2,tier0_canopy_mid,0,300,-1.15,1.9,0.675,1.6978,-0.52547,-0.68669,1.9053,298.788,1,1
19_T2,tier0_canopy_mid,0,300,-1.1,1.9,0.675,1.7807,-0.54851,-0.54015,1.9399,298.807,1,1
19_T2,tier0_canopy_mid,0,300,-1.05,1.85,0.675,1.2761,-0.59364,-0.27797,1.4346,298.794,1,1
19_T2,tier0_canopy_mid,0,300,-1.0,1.85,0.675,1.3437,-0.56364,-0.23374,1.4758,298.805,1,1
