run_id,plane,tier,t_s,x_m,y_m,z_m,Ux,Uy,Uz,magU,T_K,in_bed,in_window
21_N1,tier0_canopy_mid,0,300,-1.2,1.6,0.675,0,0,0,0,302,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,1.6,0.675,4.0685e-18,1.3113e-17,-1.6579e-17,2.1526e-17,302,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,1.6,0.675,0,0,0,0,302,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,1.6,0.675,0.042911,0.10026,-0.027431,0.11246,298.566,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,1.6,0.675,0.072183,0.046336,-0.024424,0.089185,298.531,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,1.6,0.675,0.1222,0.016064,-0.018806,0.12468,298.52,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,1.6,0.675,0.16704,-0.0013706,-0.01336,0.16758,298.514,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,1.6,0.675,0.20617,-0.011922,-0.0077454,0.20666,298.511,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,1.6,0.675,0.23994,-0.01842,-0.0019144,0.24066,298.511,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.6,0.675,0.26866,-0.022394,0.0040407,0.26962,298.514,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,1.65,0.675,0,0,0,0,302,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,1.7,0.675,0,0,0,0,302,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,1.65,0.675,0.12898,0.032431,-0.049739,0.14199,298.667,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,1.65,0.675,0,0,0,0,302,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,1.65,0.675,0.19023,-0.019542,-0.037879,0.19494,298.631,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,1.7,0.675,0.53258,-0.046981,-0.13343,0.55105,298.673,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,1.7,0.675,0,0,0,0,302,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,1.7,0.675,0.55684,-0.066088,-0.10703,0.57087,298.652,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,1.65,0.675,0.26016,-0.041554,-0.027993,0.26494,298.618,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,1.65,0.675,0.31237,-0.050426,-0.021073,0.31712,298.611,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,1.7,0.675,0.58117,-0.072478,-0.086406,0.59201,298.642,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,1.7,0.675,0.59385,-0.072193,-0.069946,0.60229,298.635,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,1.65,0.675,0.35115,-0.053165,-0.014879,0.35546,298.608,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,1.65,0.675,0.38025,-0.052786,-0.0090655,0.384,298.607,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,1.7,0.675,0.59845,-0.068515,-0.055981,0.60495,298.63,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,1.7,0.675,0.59811,-0.063384,-0.043928,0.60306,298.626,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.65,0.675,0.40169,-0.050798,-0.0037253,0.40491,298.608,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.7,0.675,0.59437,-0.057939,-0.033593,0.59813,298.625,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,1.75,0.675,0.99036,0.16422,-0.34118,1.0603,298.549,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,1.8,0.675,1.1783,0.20594,-0.34228,1.2442,298.51,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,1.75,0.675,0.99575,0.098561,-0.28805,1.0412,298.576,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,1.7,0.675,0,0,0,0,302,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,1.75,0.675,0.99759,0.04765,-0.23438,1.0259,298.59,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,1.8,0.675,1.1832,0.16272,-0.29704,1.2307,298.519,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,1.8,0.675,1.1788,0.12926,-0.24157,1.2102,298.527,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,1.75,0.675,0.98234,0.0075741,-0.19612,1.0018,298.593,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,1.75,0.675,0.95418,-0.010723,-0.16299,0.96806,298.595,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,1.8,0.675,1.1557,0.10042,-0.1979,1.1768,298.534,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,1.8,0.675,1.1204,0.077884,-0.16248,1.1348,298.54,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,1.75,0.675,0.9219,-0.020621,-0.13383,0.9318,298.597,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,1.75,0.675,0.88909,-0.025768,-0.10922,0.89615,298.598,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,1.8,0.675,1.08,0.060851,-0.13263,1.0898,298.546,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,1.8,0.675,1.0384,0.047829,-0.10774,1.045,298.553,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,1.75,0.675,0.85674,-0.027791,-0.088702,0.86177,298.6,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,1.75,0.675,0.82535,-0.027928,-0.071562,0.82892,298.601,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,1.8,0.675,0.99696,0.037832,-0.087199,1.0015,298.56,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,1.8,0.675,0.95648,0.030243,-0.070265,0.95954,298.566,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.75,0.675,0.79512,-0.027046,-0.057244,0.79763,298.603,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.8,0.675,0.91729,0.024513,-0.056285,0.91934,298.573,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,1.85,0.675,1.171,0.24938,-0.26692,1.2267,298.485,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,1.9,0.675,0.84094,0.26093,-0.13011,0.89006,298.477,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,1.85,0.675,1.1712,0.24262,-0.24342,1.2206,298.493,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,1.85,0.675,1.1652,0.2159,-0.1994,1.2017,298.5,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,1.9,0.675,0.89029,0.27912,-0.14025,0.9435,298.486,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,1.9,0.675,0.93036,0.25755,-0.11689,0.9724,298.493,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,1.85,0.675,1.1452,0.18437,-0.16069,1.171,298.508,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,1.85,0.675,1.1164,0.15604,-0.12858,1.1346,298.515,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,1.9,0.675,0.95388,0.22643,-0.089916,0.9845,298.501,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,1.9,0.675,0.96258,0.19761,-0.066268,0.98489,298.509,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,1.85,0.675,1.0832,0.13256,-0.1017,1.096,298.523,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,1.85,0.675,1.0479,0.11287,-0.079372,1.0569,298.531,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,1.9,0.675,0.95911,0.17228,-0.04637,0.97556,298.518,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,1.9,0.675,0.94722,0.14901,-0.029433,0.95932,298.527,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,1.85,0.675,1.012,0.096308,-0.061063,1.0184,298.54,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,1.85,0.675,0.97631,0.082726,-0.046268,0.9809,298.548,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,1.9,0.675,0.93065,0.1285,-0.015429,0.93961,298.537,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,1.9,0.675,0.91121,0.11171,-0.0046244,0.91804,298.547,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.85,0.675,0.94097,0.071729,-0.034415,0.94433,298.557,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.9,0.675,0.88922,0.098165,0.0033425,0.89463,298.557,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,1.95,0.675,0.35691,0.19508,-0.012574,0.40694,298.49,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,2.0,0.675,0.10219,0.039542,0.033147,0.11448,298.477,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,1.95,0.675,0.48215,0.22465,-0.032716,0.53292,298.497,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,1.95,0.675,0.59371,0.21265,-0.018527,0.63092,298.503,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,2.0,0.675,0.25362,0.051135,0.026287,0.26006,298.48,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,2.0,0.675,0.39896,0.055704,0.045737,0.40542,298.486,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,1.95,0.675,0.68032,0.19192,0.0002805,0.70688,298.511,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,1.95,0.675,0.74023,0.17459,0.014071,0.76067,298.519,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,2.0,0.675,0.5175,0.060206,0.063392,0.52484,298.494,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,2.0,0.675,0.60311,0.06942,0.06258,0.61031,298.501,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,1.95,0.675,0.77461,0.15788,0.024428,0.79091,298.527,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,1.95,0.675,0.79195,0.13749,0.03487,0.80456,298.537,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,2.0,0.675,0.64962,0.075244,0.060512,0.65675,298.506,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,2.0,0.675,0.67588,0.069179,0.07373,0.6834,298.517,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,1.95,0.675,0.80068,0.11815,0.043814,0.81054,298.547,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,1.95,0.675,0.80296,0.10349,0.049261,0.8111,298.559,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,2.0,0.675,0.6992,0.059987,0.08609,0.70703,298.531,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,2.0,0.675,0.71683,0.054545,0.090535,0.72458,298.546,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.95,0.675,0.79857,0.092403,0.051744,0.80556,298.57,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,2.0,0.675,0.72439,0.051588,0.090129,0.7318,298.561,1,1
21_N1,tier0_canopy_mid,0,300,-1.2,2.05,0.675,0.25154,-0.12491,0.0055746,0.2809,298.412,1,1
21_N1,tier0_canopy_mid,0,300,-1.15,2.05,0.675,0.38572,-0.14165,-0.0055185,0.41095,298.41,1,1
21_N1,tier0_canopy_mid,0,300,-1.1,2.05,0.675,0.50941,-0.12376,0.014761,0.52443,298.414,1,1
21_N1,tier0_canopy_mid,0,300,-1.05,2.05,0.675,0.60972,-0.097677,0.033826,0.61842,298.422,1,1
21_N1,tier0_canopy_mid,0,300,-1.0,2.05,0.675,0.67864,-0.071504,0.028182,0.68298,298.427,1,1
21_N1,tier0_canopy_mid,0,300,-0.95,2.05,0.675,0.70609,-0.049545,0.024761,0.70826,298.429,1,1
21_N1,tier0_canopy_mid,0,300,-0.9,2.05,0.675,0.7162,-0.034609,0.048151,0.71865,298.44,1,1
21_N1,tier0_canopy_mid,0,300,-0.85,2.05,0.675,0.73109,-0.023812,0.070118,0.73483,298.457,1,1
21_N1,tier0_canopy_mid,0,300,-0.8,2.05,0.675,0.74382,-0.014509,0.079964,0.74825,298.474,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,2.05,0.675,0.74671,-0.0065703,0.082986,0.75133,298.492,1,1
21_N1,tier0_canopy_mid,0,300,-0.7,1.6,0.675,0.29258,-0.024754,0.010048,0.2938,298.523,1,1
21_N1,tier0_canopy_mid,0,300,-0.65,1.6,0.675,0.31201,-0.026039,0.016055,0.3135,298.534,1,1
21_N1,tier0_canopy_mid,0,300,-0.6,1.6,0.675,0.3271,-0.02662,0.021891,0.32891,298.549,1,1
21_N1,tier0_canopy_mid,0,300,-0.55,1.6,0.675,0.33804,-0.026782,0.027328,0.3402,298.565,1,1
21_N1,tier0_canopy_mid,0,300,-0.5,1.6,0.675,0.34532,-0.026755,0.032183,0.34785,298.582,1,1
21_N1,tier0_canopy_mid,0,300,-0.45,1.6,0.675,0.34942,-0.026707,0.036275,0.35232,298.599,1,1
21_N1,tier0_canopy_mid,0,300,-0.4,1.6,0.675,0.35077,-0.026784,0.039436,0.35399,298.617,1,1
21_N1,tier0_canopy_mid,0,300,-0.35,1.6,0.675,0.34973,-0.027085,0.041546,0.35323,298.633,1,1
21_N1,tier0_canopy_mid,0,300,-0.3,1.6,0.675,0.34673,-0.027675,0.042538,0.35043,298.649,1,1
21_N1,tier0_canopy_mid,0,300,-0.25,1.6,0.675,0.34224,-0.0286,0.042397,0.34604,298.663,1,1
21_N1,tier0_canopy_mid,0,300,-0.7,1.65,0.675,0.41683,-0.048089,0.0011982,0.4196,298.61,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.65,0.675,0.40169,-0.050798,-0.0037253,0.40491,298.608,1,1
21_N1,tier0_canopy_mid,0,300,-0.7,1.7,0.675,0.588,-0.052775,-0.024769,0.59088,298.625,1,1
21_N1,tier0_canopy_mid,0,300,-0.65,1.65,0.675,0.42678,-0.045212,0.0057988,0.42921,298.615,1,1
21_N1,tier0_canopy_mid,0,300,-0.6,1.65,0.675,0.43246,-0.042475,0.010096,0.43465,298.621,1,1
21_N1,tier0_canopy_mid,0,300,-0.65,1.7,0.675,0.57949,-0.048156,-0.017201,0.58174,298.626,1,1
21_N1,tier0_canopy_mid,0,300,-0.6,1.7,0.675,0.56924,-0.044178,-0.010668,0.57105,298.629,1,1
21_N1,tier0_canopy_mid,0,300,-0.55,1.65,0.675,0.43469,-0.040071,0.013981,0.43676,298.629,1,1
21_N1,tier0_canopy_mid,0,300,-0.5,1.65,0.675,0.43416,-0.038089,0.017345,0.43618,298.639,1,1
21_N1,tier0_canopy_mid,0,300,-0.55,1.7,0.675,0.55765,-0.040885,-0.0050789,0.55917,298.633,1,1
21_N1,tier0_canopy_mid,0,300,-0.5,1.7,0.675,0.54504,-0.038265,-0.00036659,0.54638,298.638,1,1
21_N1,tier0_canopy_mid,0,300,-0.45,1.65,0.675,0.43135,-0.036542,0.020154,0.43336,298.65,1,1
21_N1,tier0_canopy_mid,0,300,-0.4,1.65,0.675,0.42662,-0.03543,0.022375,0.42868,298.661,1,1
21_N1,tier0_canopy_mid,0,300,-0.45,1.7,0.675,0.53159,-0.036254,0.0035827,0.53284,298.645,1,1
21_N1,tier0_canopy_mid,0,300,-0.4,1.7,0.675,0.51748,-0.034794,0.0068587,0.5187,298.653,1,1
21_N1,tier0_canopy_mid,0,300,-0.35,1.65,0.675,0.42033,-0.034744,0.023974,0.42244,298.673,1,1
21_N1,tier0_canopy_mid,0,300,-0.3,1.65,0.675,0.4128,-0.034478,0.02492,0.41499,298.686,1,1
21_N1,tier0_canopy_mid,0,300,-0.35,1.7,0.675,0.50294,-0.033837,0.009496,0.50417,298.661,1,1
21_N1,tier0_canopy_mid,0,300,-0.3,1.7,0.675,0.48819,-0.033345,0.01148,0.48946,298.671,1,1
21_N1,tier0_canopy_mid,0,300,-0.25,1.65,0.675,0.40436,-0.034617,0.025205,0.40662,298.698,1,1
21_N1,tier0_canopy_mid,0,300,-0.25,1.7,0.675,0.47342,-0.033259,0.01283,0.47476,298.68,1,1
21_N1,tier0_canopy_mid,0,300,-0.7,1.75,0.675,0.76601,-0.025711,-0.045287,0.76778,298.606,1,1
21_N1,tier0_canopy_mid,0,300,-0.7,1.8,0.675,0.87947,0.020095,-0.04471,0.88084,298.579,1,1
21_N1,tier0_canopy_mid,0,300,-0.75,1.8,0.675,0.91729,0.024513,-0.056285,0.91934,298.573,1,1
21_N1,tier0_canopy_mid,0,300,-0.65,1.75,0.675,0.73794,-0.024288,-0.035278,0.73918,298.609,1,1
21_N1,tier0_canopy_mid,0,300,-0.6,1.75,0.675,0.71081,-0.022996,-0.026861,0.71169,298.613,1,1
21_N1,tier0_canopy_mid,0,300,-0.65,1.8,0.675,0.84307,0.016517,-0.035074,0.84396,298.586,1,1
21_N1,tier0_canopy_mid,0,300,-0.6,1.8,0.675,0.80807,0.013459,-0.027007,0.80864,298.593,1,1
21_N1,tier0_canopy_mid,0,300,-0.55,1.75,0.675,0.68455,-0.021953,-0.019765,0.68519,298.618,1,1
21_N1,tier0_canopy_mid,0,300,-0.5,1.75,0.675,0.65907,-0.021217,-0.01378,0.65955,298.624,1,1
21_N1,tier0_canopy_mid,0,300,-0.55,1.8,0.675,0.77444,0.010719,-0.02023,0.77478,298.6,1,1
21_N1,tier0_canopy_mid,0,300,-0.5,1.8,0.675,0.74211,0.0081533,-0.014534,0.7423,298.608,1,1
21_N1,tier0_canopy_mid,0,300,-0.45,1.75,0.675,0.63429,-0.020816,-0.008732,0.63469,298.63,1,1
21_N1,tier0_canopy_mid,0,300,-0.4,1.75,0.675,0.6102,-0.020757,-0.0044736,0.61057,298.637,1,1
21_N1,tier0_canopy_mid,0,300,-0.45,1.8,0.675,0.71102,0.0056602,-0.0097389,0.71111,298.616,1,1
21_N1,tier0_canopy_mid,0,300,-0.4,1.8,0.675,0.68114,0.0031669,-0.0056722,0.68117,298.624,1,1
21_N1,tier0_canopy_mid,0,300,-0.35,1.75,0.675,0.58684,-0.021039,-0.00090788,0.58722,298.644,1,1
21_N1,tier0_canopy_mid,0,300,-0.3,1.75,0.675,0.56432,-0.021641,0.0020117,0.56474,298.653,1,1
21_N1,tier0_canopy_mid,0,300,-0.35,1.8,0.675,0.65245,0.00061025,-0.0021983,0.65245,298.632,1,1
21_N1,tier0_canopy_mid,0,300,-0.3,1.8,0.675,0.62499,-0.0020622,0.00077775,0.625,298.641,1,1
21_N1,tier0_canopy_mid,0,300,-0.25,1.75,0.675,0.54275,-0.022521,0.0043416,0.54323,298.661,1,1
21_N1,tier0_canopy_mid,0,300,-0.25,1.8,0.675,0.59886,-0.0048853,0.0033381,0.59889,298.65,1,1
21_N1,tier0_canopy_mid,0,300,-0.7,1.85,0.675,0.90601,0.062676,-0.024905,0.90851,298.566,1,1
21_N1,tier0_canopy_mid,0,300,-0.7,1.9,0.675,0.86503,0.086904,0.0091912,0.86943,298.568,1,1
21_N1,tier0_canopy_mid,0,300,-0.65,1.85,0.675,0.87154,0.054993,-0.017198,0.87345,298.574,1,1
21_N1,tier0_canopy_mid,0,300,-0.6,1.85,0.675,0.83778,0.048299,-0.010903,0.83924,298.583,1,1
21_N1,tier0_canopy_mid,0,300,-0.65,1.9,0.675,0.83928,0.077276,0.013529,0.84293,298.578,1,1
21_N1,tier0_canopy_mid,0,300,-0.6,1.9,0.675,0.81262,0.068891,0.016739,0.81571,298.589,1,1
21_N1,tier0_canopy_mid,0,300,-0.55,1.85,0.675,0.80483,0.042345,-0.0057647,0.80596,298.593,1,1
21_N1,tier0_canopy_mid,0,300,-0.5,1.85,0.675,0.77274,0.036938,-0.0015867,0.77362,298.602,1,1
21_N1,tier0_canopy_mid,0,300,-0.55,1.9,0.675,0.78551,0.061463,0.019055,0.78814,298.6,1,1
21_N1,tier0_canopy_mid,0,300,-0.5,1.9,0.675,0.75823,0.054771,0.02066,0.76049,298.61,1,1
21_N1,tier0_canopy_mid,0,300,-0.45,1.85,0.675,0.74158,0.031932,0.0018075,0.74227,298.612,1,1
21_N1,tier0_canopy_mid,0,300,-0.4,1.85,0.675,0.71138,0.027218,0.0046243,0.71191,298.621,1,1
21_N1,tier0_canopy_mid,0,300,-0.45,1.9,0.675,0.73101,0.04865,0.021732,0.73294,298.621,1,1
21_N1,tier0_canopy_mid,0,300,-0.4,1.9,0.675,0.70399,0.04297,0.022472,0.70566,298.633,1,1
