run_id,plane,tier,plane_z_m,window_from_s,window_to_s,snapshots,n_points,P10,P50,P90,mean,cov,band_ratio,stagnant_ratio,spread,P10_drift_pct,T_mean_C,T_sd,pass_low,pass_high
08_F6,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.7082,1.3148,2.698,1.5253,0.5988,0.187,0.0386,3.81,-0.5,26.45,0.487,1,0
08_F6,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.4269,1.001,1.7526,1.0986,0.5803,0.4511,0.0386,4.105,2.3,26.31,0.52,1,0
08_F6,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.7129,1.1981,2.6278,1.4435,0.6292,0.2931,0.0386,3.686,0.6,25.93,0.808,1,0
08_F6,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.4903,0.8385,1.4488,0.9362,0.5783,0.7503,0.0,2.955,0.1,25.19,1.007,1,0
14_S6,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.7071,1.3229,2.7756,1.5271,0.6215,0.2413,0.0386,3.925,-2.4,25.75,0.632,1,0
14_S6,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.3929,0.9207,1.5563,1.013,0.6016,0.544,0.0386,3.961,-11.7,25.67,0.639,1,0
14_S6,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.6662,1.161,2.6056,1.4161,0.672,0.316,0.0386,3.911,-0.6,25.01,0.92,1,0
14_S6,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.4128,0.6366,1.1519,0.7644,0.7003,0.8283,0.0,2.79,0.6,23.83,0.772,1,0
07_F5,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.4956,1.0103,2.1607,1.1911,0.6273,0.4367,0.0386,4.36,5.4,25.76,0.631,1,0
07_F5,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.3145,0.7478,1.3686,0.8228,0.6307,0.6779,0.0386,4.352,-1.5,25.65,0.651,1,0
07_F5,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.4823,0.8945,2.0008,1.0703,0.6677,0.5489,0.0386,4.148,-0.9,25.1,1.117,1,0
07_F5,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.3921,0.6001,1.0113,0.6765,0.5755,0.8848,0.0,2.579,1.6,24.33,1.072,1,0
06_F4,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.4233,0.7592,1.571,0.8929,0.6102,0.649,0.0386,3.711,0.7,25.7,0.646,0,0
06_F4,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.27,0.5488,0.938,0.5988,0.565,0.8082,0.0386,3.474,-0.3,25.58,0.664,0,0
06_F4,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.3737,0.6002,1.4677,0.7652,0.7016,0.7226,0.0398,3.927,-1.6,24.55,1.442,0,0
06_F4,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.2355,0.412,0.7523,0.4718,0.67,0.7311,0.0108,3.194,-0.8,24.04,1.291,0,0
05_F3,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.3155,0.6139,1.3335,0.7346,0.6276,0.7117,0.0398,4.227,-2.4,25.54,0.676,0,0
05_F3,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.2255,0.4874,0.89,0.5505,0.6047,0.7708,0.0458,3.947,0.1,25.44,0.689,0,0
05_F3,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.362,0.5434,1.2733,0.6836,0.6668,0.7587,0.0386,3.517,-3.1,24.31,1.592,0,0
05_F3,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.2192,0.396,0.7239,0.4555,0.651,0.7275,0.0108,3.302,-2.3,23.86,1.397,0,0
25_A1,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.3632,0.64,1.3161,0.7486,0.6073,0.7298,0.0398,3.624,2.3,25.49,0.686,0,0
25_A1,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.2067,0.4297,0.7318,0.4761,0.5831,0.8022,0.0434,3.54,-2.2,25.35,0.71,0,0
25_A1,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.2456,0.5817,1.2785,0.692,0.6868,0.6791,0.0398,5.206,5.3,25.89,0.607,0,0
25_A1,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.2054,0.3835,0.5632,0.4105,0.5431,0.7371,0.006,2.742,1.8,25.62,0.094,0,0
26_A2,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.418,0.6612,1.3273,0.7733,0.5697,0.7419,0.0386,3.175,1.4,25.94,0.595,0,0
26_A2,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.244,0.51,0.8095,0.5436,0.5318,0.8191,0.0386,3.318,4.7,25.78,0.623,0,0
26_A2,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.2665,0.617,1.3675,0.7356,0.6679,0.6695,0.0386,5.131,-2.9,26.05,0.572,0,0
26_A2,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.1954,0.4457,0.7955,0.4957,0.6022,0.7083,0.0156,4.071,-2.7,25.72,0.149,0,0
29_A5,tier0_canopy_mid,0,0.675,300.0,300.0,1,829,0.3666,0.6529,1.3482,0.7659,0.5937,0.7238,0.0386,3.678,,25.83,0.617,0,0
29_A5,tier0_canopy_top,0,0.8,300.0,300.0,1,829,0.1849,0.5139,0.8619,0.5474,0.5789,0.778,0.0386,4.661,,25.74,0.626,0,0
29_A5,tier1_canopy_mid,1,1.475,300.0,300.0,1,829,0.3826,0.6226,1.2942,0.7342,0.599,0.76,0.0386,3.383,,26.06,0.569,0,0
29_A5,tier1_canopy_top,1,1.6,300.0,300.0,1,833,0.335,0.4767,0.7641,0.5303,0.4746,0.8691,0.0,2.281,,25.8,0.092,0,0
11_S3,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.3329,0.6546,1.3784,0.7618,0.6309,0.6948,0.0386,4.141,0.5,25.17,0.75,0,0
11_S3,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.1843,0.4765,0.8456,0.5242,0.6225,0.778,0.0386,4.588,2.5,25.05,0.763,0,0
11_S3,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.3976,0.5793,1.2923,0.7128,0.6491,0.76,0.0386,3.25,-0.4,24.08,1.489,0,0
11_S3,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.2186,0.3742,0.6149,0.4346,0.6566,0.6531,0.0024,2.813,-0.9,23.4,1.264,0,0
27_A3,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.3775,0.666,1.3901,0.7796,0.5997,0.7105,0.0386,3.682,-0.4,26.03,0.597,0,0
27_A3,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.1623,0.5017,0.8659,0.5362,0.6163,0.7636,0.0386,5.335,0.1,25.99,0.598,0,0
27_A3,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.1525,0.5824,1.3762,0.6967,0.7365,0.5959,0.0591,9.024,0.2,26.33,0.527,0,0
27_A3,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.2052,0.5033,0.9211,0.5516,0.5939,0.6951,0.0,4.489,0.1,26.06,0.113,0,0
03_F1,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.2317,0.3754,0.8308,0.4594,0.6118,0.7117,0.041,3.586,0.4,25.1,0.775,0,1
03_F1,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.1462,0.2842,0.5072,0.3202,0.5948,0.3462,0.0543,3.469,-0.9,24.66,1.006,0,1
03_F1,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.2349,0.4182,0.7519,0.4572,0.5748,0.7612,0.0434,3.201,-4.8,23.66,1.822,0,1
03_F1,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.1466,0.3046,0.5485,0.3415,0.5464,0.4958,0.0192,3.741,-3.4,23.63,1.486,0,1
13_S5,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.3148,0.6205,1.3364,0.7342,0.654,0.7057,0.0386,4.245,-6.8,24.87,0.82,0,0
13_S5,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.2018,0.4176,0.6762,0.451,0.5927,0.7467,0.0386,3.351,-4.4,24.45,0.913,0,0
13_S5,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.2563,0.3735,0.4783,0.3659,0.3069,0.8239,0.0386,1.866,0.2,22.72,1.511,0,0
13_S5,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.1461,0.27,0.4852,0.3044,0.4772,0.455,0.0264,3.321,1.7,23.3,1.281,0,0
28_A4,tier0_canopy_mid,0,0.675,300.0,300.0,1,829,0.3855,0.6548,1.268,0.7522,0.5889,0.7455,0.0398,3.289,,25.52,0.738,0,0
28_A4,tier0_canopy_top,0,0.8,300.0,300.0,1,829,0.2168,0.3833,0.5879,0.4129,0.5589,0.7998,0.041,2.712,,25.54,0.708,0,0
28_A4,tier1_canopy_mid,1,1.475,300.0,300.0,1,829,0.2688,0.5202,1.1334,0.629,0.6971,0.7189,0.041,4.217,,25.23,0.828,0,0
28_A4,tier1_canopy_top,1,1.6,300.0,300.0,1,833,0.1418,0.2009,0.2979,0.2312,0.6632,0.0888,0.0144,2.101,,25.57,0.26,0,0
23_H1,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.35,0.5731,1.1437,0.6738,0.585,0.778,0.0386,3.268,0.3,25.56,0.677,0,0
23_H1,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.2192,0.4093,0.593,0.4072,0.3622,0.8372,0.0495,2.705,-3.4,25.35,0.757,0,0
23_H1,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.2849,0.4379,0.9191,0.5252,0.6566,0.8118,0.0483,3.226,1.1,24.12,1.594,0,0
23_H1,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.1396,0.2967,0.4543,0.2966,0.401,0.4958,0.0456,3.254,0.9,23.77,1.457,0,0
04_F2,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.2691,0.5061,1.0952,0.6058,0.6213,0.7612,0.0446,4.07,1.2,25.39,0.698,0,0
04_F2,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.1773,0.3726,0.7153,0.4307,0.6291,0.7346,0.041,4.034,1.5,25.12,0.774,0,0
04_F2,tier1_canopy_mid,1,1.475,300.0,450.0,6,829,0.2534,0.4026,0.9584,0.5101,0.7112,0.7274,0.0422,3.782,-2.8,23.78,1.434,0,0
04_F2,tier1_canopy_top,1,1.6,300.0,450.0,6,833,0.1336,0.2866,0.4625,0.3225,0.6745,0.443,0.0468,3.462,-4.1,23.15,1.229,0,0
21_N1,tier0_canopy_mid,0,0.675,300.0,450.0,6,829,0.2954,0.4349,0.8796,0.5037,0.4971,0.8372,0.0398,2.978,1.2,25.33,0.717,0,1
21_N1,tier0_canopy_top,0,0.8,300.0,450.0,6,829,0.2692,0.4166,0.6914,0.4543,0.4415,0.848,0.0386,2.568,2.3,25.07,0.784,0,1
