dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,23.622
Xp,1,0,4.4570,1.7750,2.6000,18.863
Xp,2,0,4.4570,1.8500,2.6000,18.863
Xp,3,0,4.4570,1.9250,2.6000,18.447
Xp,4,0,4.4570,2.0000,2.6000,18.510
Xp,5,0,4.4570,2.0750,2.6000,18.510
Xp,6,0,4.4570,2.1500,2.6000,18.540
Xp,7,0,4.4570,2.2250,2.6000,18.925
Xp,8,0,4.4570,2.3000,2.6000,18.925
Xp,0,1,4.4233,1.7263,2.6047,23.622
Xp,1,1,4.5317,1.7937,2.5616,20.582
Xp,2,1,4.5678,1.8508,2.5641,19.711
Xp,3,1,4.5678,1.9258,2.5641,19.711
Xp,4,1,4.5677,1.9968,2.5640,19.825
Xp,5,1,4.5677,2.0718,2.5640,19.825
Xp,6,1,4.5611,2.1375,2.5600,19.900
Xp,7,1,4.5330,2.2059,2.5621,19.900
Xp,8,1,4.5330,2.2809,2.5621,20.768
Xp,0,2,4.5238,1.7407,2.5550,20.582
Xp,1,2,4.5682,1.8081,2.5397,20.582
Xp,2,2,4.6153,1.8523,2.5590,19.497
Xp,3,2,4.6153,1.9273,2.5590,19.497
Xp,4,2,4.6157,1.9906,2.5582,19.615
Xp,5,2,4.6157,2.0656,2.5582,19.615
Xp,6,2,4.6129,2.1237,2.5436,19.897
Xp,7,2,4.5848,2.1921,2.5457,19.900
Xp,8,2,4.5686,2.2654,2.5423,20.768
Xp,0,3,4.5603,1.7552,2.5331,20.582
Xp,1,3,4.6047,1.8225,2.5179,20.582
Xp,2,3,4.6726,1.8547,2.5514,19.497
Xp,3,3,4.6726,1.9297,2.5514,19.497
Xp,4,3,4.6732,1.9841,2.5497,19.615
Xp,5,3,4.6732,2.0591,2.5497,19.615
Xp,6,3,4.6698,2.1106,2.5260,19.897
Xp,7,3,4.6416,2.1790,2.5282,19.897
Xp,8,3,4.6042,2.2499,2.5225,20.768
Xp,0,4,4.5968,1.7696,2.5112,20.582
Xp,1,4,4.6395,1.8337,2.4989,20.858
Xp,2,4,4.7299,1.8571,2.5439,19.391
Xp,3,4,4.7299,1.9321,2.5439,19.391
Xp,4,4,4.7307,1.9776,2.5412,19.524
Xp,5,4,4.7307,2.0526,2.5412,19.524
Xp,6,4,4.7266,2.0975,2.5085,19.897
Xp,7,4,4.6985,2.1659,2.5106,19.897
Xp,8,4,4.6382,2.2376,2.5057,21.066
Xp,0,5,4.6316,1.7807,2.4923,20.858
Xp,1,5,4.6742,1.8448,2.4800,20.858
Xp,2,5,4.7943,1.8596,2.5332,19.391
Xp,3,5,4.7943,1.9346,2.5332,19.391
Xp,4,5,4.7947,1.9713,2.5298,19.524
Xp,5,5,4.7947,2.0463,2.5298,19.524
Xp,6,5,4.7845,2.0858,2.4908,19.524
Xp,7,5,4.7553,2.1529,2.4931,20.033
Xp,8,5,4.6722,2.2253,2.4890,21.066
Xp,0,6,4.6664,1.7919,2.4734,20.858
Xp,1,6,4.7315,1.8472,2.4724,21.238
Xp,2,6,4.8587,1.8621,2.5226,19.386
