t_s,point,ue_x,ue_y,z,T_C,U_mag
0.0,A,4.00,2.00,0.10,28.850,0.0000
0.0,A,4.00,2.00,1.10,28.850,0.0000
0.0,A,4.00,2.00,1.70,28.850,0.0000
0.0,B,7.50,0.80,0.10,28.850,0.0000
0.0,B,7.50,0.80,1.10,28.850,0.0000
0.0,B,7.50,0.80,1.70,28.850,0.0000
0.0,C,4.00,4.50,0.10,28.850,0.0000
0.0,C,4.00,4.50,1.10,28.850,0.0000
0.0,C,4.00,4.50,1.70,28.850,0.0000
0.0,D,0.50,0.80,0.10,28.850,0.0000
0.0,D,0.50,0.80,1.10,28.850,0.0000
0.0,D,0.50,0.80,1.70,28.850,0.0000
1.15,A,4.00,2.00,0.10,28.850,0.0096
1.15,A,4.00,2.00,1.10,28.850,0.0059
1.15,A,4.00,2.00,1.70,28.850,0.0037
1.15,B,7.50,0.80,0.10,28.850,0.0081
1.15,B,7.50,0.80,1.10,28.850,0.0012
1.15,B,7.50,0.80,1.70,28.850,0.0018
1.15,C,4.00,4.50,0.10,28.850,0.0081
1.15,C,4.00,4.50,1.10,28.850,0.0000
1.15,C,4.00,4.50,1.70,28.850,0.0000
1.15,D,0.50,0.80,0.10,28.850,0.0081
1.15,D,0.50,0.80,1.10,28.850,0.0012
1.15,D,0.50,0.80,1.70,28.850,0.0018
2.3,A,4.00,2.00,0.10,28.850,0.0188
2.3,A,4.00,2.00,1.10,28.850,0.0116
2.3,A,4.00,2.00,1.70,28.850,0.0072
2.3,B,7.50,0.80,0.10,28.850,0.0160
2.3,B,7.50,0.80,1.10,28.850,0.0023
2.3,B,7.50,0.80,1.70,28.850,0.0036
2.3,C,4.00,4.50,0.10,28.850,0.0160
2.3,C,4.00,4.50,1.10,28.850,0.0001
2.3,C,4.00,4.50,1.70,28.850,0.0001
2.3,D,0.50,0.80,0.10,28.850,0.0160
2.3,D,0.50,0.80,1.10,28.850,0.0023
2.3,D,0.50,0.80,1.70,28.850,0.0036
3.45,A,4.00,2.00,0.10,28.850,0.0279
3.45,A,4.00,2.00,1.10,28.850,0.0171
3.45,A,4.00,2.00,1.70,28.850,0.0107
3.45,B,7.50,0.80,0.10,28.850,0.0236
3.45,B,7.50,0.80,1.10,28.850,0.0034
3.45,B,7.50,0.80,1.70,28.850,0.0053
3.45,C,4.00,4.50,0.10,28.850,0.0236
3.45,C,4.00,4.50,1.10,28.850,0.0001
3.45,C,4.00,4.50,1.70,28.850,0.0001
3.45,D,0.50,0.80,0.10,28.850,0.0236
3.45,D,0.50,0.80,1.10,28.850,0.0034
3.45,D,0.50,0.80,1.70,28.850,0.0053
4.6,A,4.00,2.00,0.10,28.850,0.0366
4.6,A,4.00,2.00,1.10,28.850,0.0225
4.6,A,4.00,2.00,1.70,28.850,0.0141
4.6,B,7.50,0.80,0.10,28.850,0.0311
4.6,B,7.50,0.80,1.10,28.850,0.0045
4.6,B,7.50,0.80,1.70,28.850,0.0069
4.6,C,4.00,4.50,0.10,28.850,0.0310
4.6,C,4.00,4.50,1.10,28.850,0.0001
4.6,C,4.00,4.50,1.70,28.850,0.0001
4.6,D,0.50,0.80,0.10,28.850,0.0311
4.6,D,0.50,0.80,1.10,28.850,0.0045
4.6,D,0.50,0.80,1.70,28.850,0.0069
5.75,A,4.00,2.00,0.10,28.850,0.0451
5.75,A,4.00,2.00,1.10,28.850,0.0278
5.75,A,4.00,2.00,1.70,28.850,0.0173
5.75,B,7.50,0.80,0.10,28.850,0.0383
5.75,B,7.50,0.80,1.10,28.850,0.0055
5.75,B,7.50,0.80,1.70,28.850,0.0085
5.75,C,4.00,4.50,0.10,28.850,0.0382
5.75,C,4.00,4.50,1.10,28.850,0.0001
5.75,C,4.00,4.50,1.70,28.850,0.0001
5.75,D,0.50,0.80,0.10,28.850,0.0383
5.75,D,0.50,0.80,1.10,28.850,0.0055
5.75,D,0.50,0.80,1.70,28.850,0.0085
6.9,A,4.00,2.00,0.10,28.850,0.0534
6.9,A,4.00,2.00,1.10,28.850,0.0329
6.9,A,4.00,2.00,1.70,28.850,0.0205
6.9,B,7.50,0.80,0.10,28.850,0.0453
6.9,B,7.50,0.80,1.10,28.850,0.0065
6.9,B,7.50,0.80,1.70,28.850,0.0101
6.9,C,4.00,4.50,0.10,28.850,0.0452
6.9,C,4.00,4.50,1.10,28.850,0.0002
