run_id,time_s,plane,n,P10,P50,P90,mean,frac_band
21_N1,30.0,tier0_canopy_mid,5124,0.0528,0.195,0.5659,0.2643,0.3132
21_N1,30.0,tier0_canopy_top,5201,0.0606,0.1852,0.5187,0.2546,0.2896
21_N1,30.0,tier1_canopy_mid,5151,0.0653,0.1687,0.589,0.2585,0.2631
21_N1,30.0,tier1_canopy_top,5209,0.063,0.1514,0.5047,0.2191,0.2144
21_N1,30.0,"CASE(worst P10, tier gap)",4,0.0528,,,0.0452,
21_N1,60.0,tier0_canopy_mid,5124,0.045,0.174,0.5576,0.2501,0.3072
21_N1,60.0,tier0_canopy_top,5201,0.0544,0.1615,0.5199,0.2401,0.2799
21_N1,60.0,tier1_canopy_mid,5151,0.0837,0.1701,0.59,0.267,0.2712
21_N1,60.0,tier1_canopy_top,5209,0.0806,0.1501,0.518,0.2297,0.2225
21_N1,60.0,"CASE(worst P10, tier gap)",4,0.045,,,0.0373,
21_N1,90.0,tier0_canopy_mid,5124,0.0492,0.1669,0.5677,0.2511,0.2884
21_N1,90.0,tier0_canopy_top,5201,0.0499,0.1649,0.4988,0.2383,0.2717
21_N1,90.0,tier1_canopy_mid,5151,0.1001,0.18,0.5875,0.2771,0.277
21_N1,90.0,tier1_canopy_top,5209,0.1034,0.1768,0.537,0.252,0.2356
21_N1,90.0,"CASE(worst P10, tier gap)",4,0.0492,,,0.0388,
21_N1,120.0,tier0_canopy_mid,5124,0.0628,0.1868,0.5689,0.2598,0.2758
21_N1,120.0,tier0_canopy_top,5201,0.0657,0.1872,0.5638,0.2619,0.2788
21_N1,120.0,tier1_canopy_mid,5151,0.0919,0.2042,0.6143,0.2969,0.3044
21_N1,120.0,tier1_canopy_top,5209,0.0962,0.2032,0.5448,0.2697,0.2816
21_N1,120.0,"CASE(worst P10, tier gap)",4,0.0628,,,0.037,
21_N1,150.0,tier0_canopy_mid,5124,0.0599,0.1843,0.5632,0.2599,0.2717
21_N1,150.0,tier0_canopy_top,5201,0.0653,0.1865,0.5358,0.2559,0.2723
21_N1,150.0,tier1_canopy_mid,5151,0.0745,0.1899,0.5695,0.27,0.2786
21_N1,150.0,tier1_canopy_top,5209,0.0752,0.1818,0.5063,0.2423,0.2404
21_N1,150.0,"CASE(worst P10, tier gap)",4,0.0599,,,0.0276,
21_N1,180.0,tier0_canopy_mid,5124,0.0594,0.1777,0.5759,0.2597,0.2797
21_N1,180.0,tier0_canopy_top,5201,0.0632,0.1722,0.5099,0.2442,0.2615
21_N1,180.0,tier1_canopy_mid,5151,0.0788,0.1657,0.5421,0.2495,0.2314
21_N1,180.0,tier1_canopy_top,5209,0.0742,0.1576,0.4773,0.2246,0.2123
21_N1,180.0,"CASE(worst P10, tier gap)",4,0.0594,,,0.0351,
21_N1,210.0,tier0_canopy_mid,5124,0.0584,0.1741,0.5542,0.2518,0.2617
21_N1,210.0,tier0_canopy_top,5201,0.0581,0.1647,0.5268,0.2431,0.2482
21_N1,210.0,tier1_canopy_mid,5151,0.0769,0.1595,0.5243,0.2431,0.2254
21_N1,210.0,tier1_canopy_top,5209,0.0752,0.1527,0.4591,0.2208,0.2127
21_N1,210.0,"CASE(worst P10, tier gap)",4,0.0581,,,0.031,
21_N1,240.0,tier0_canopy_mid,5124,0.0528,0.1824,0.5565,0.2542,0.2693
21_N1,240.0,tier0_canopy_top,5201,0.0589,0.1789,0.5289,0.2507,0.26
21_N1,240.0,tier1_canopy_mid,5151,0.0778,0.1625,0.5156,0.2451,0.2301
21_N1,240.0,tier1_canopy_top,5209,0.0726,0.1519,0.4501,0.218,0.2114
21_N1,240.0,"CASE(worst P10, tier gap)",4,0.0528,,,0.0362,
21_N1,270.0,tier0_canopy_mid,5124,0.0535,0.1765,0.5627,0.2525,0.2642
21_N1,270.0,tier0_canopy_top,5201,0.0607,0.1767,0.5168,0.2473,0.26
21_N1,270.0,tier1_canopy_mid,5151,0.081,0.1578,0.5146,0.2436,0.2295
21_N1,270.0,tier1_canopy_top,5209,0.0753,0.1456,0.4443,0.2148,0.2119
21_N1,270.0,"CASE(worst P10, tier gap)",4,0.0535,,,0.0377,
21_N1,300.0,tier0_canopy_mid,5124,0.0554,0.1757,0.571,0.2527,0.2627
21_N1,300.0,tier0_canopy_top,5201,0.0634,0.1678,0.5426,0.2475,0.2588
21_N1,300.0,tier1_canopy_mid,5151,0.0768,0.151,0.4886,0.2392,0.2281
21_N1,300.0,tier1_canopy_top,5209,0.0731,0.1426,0.429,0.2116,0.21
21_N1,300.0,"CASE(worst P10, tier gap)",4,0.0554,,,0.0411,
21_N1,330.0,tier0_canopy_mid,5124,0.0519,0.1748,0.576,0.2547,0.2715
21_N1,330.0,tier0_canopy_top,5201,0.0573,0.1738,0.5429,0.2518,0.269
21_N1,330.0,tier1_canopy_mid,5151,0.078,0.1572,0.507,0.2439,0.2365
21_N1,330.0,tier1_canopy_top,5209,0.0748,0.1468,0.4427,0.216,0.2141
21_N1,330.0,"CASE(worst P10, tier gap)",4,0.0519,,,0.0387,
21_N1,360.0,tier0_canopy_mid,5124,0.0516,0.1756,0.5697,0.2524,0.2722
21_N1,360.0,tier0_canopy_top,5201,0.0545,0.1757,0.5499,0.2529,0.2717
21_N1,360.0,tier1_canopy_mid,5151,0.0726,0.1584,0.5162,0.243,0.2355
21_N1,360.0,tier1_canopy_top,5209,0.0692,0.1462,0.443,0.214,0.2117
21_N1,360.0,"CASE(worst P10, tier gap)",4,0.0516,,,0.0389,
21_N1,390.0,tier0_canopy_mid,5124,0.0439,0.1793,0.573,0.2522,0.273
21_N1,390.0,tier0_canopy_top,5201,0.0531,0.1749,0.5511,0.2499,0.2651
21_N1,390.0,tier1_canopy_mid,5151,0.072,0.1579,0.501,0.2417,0.2357
21_N1,390.0,tier1_canopy_top,5209,0.0688,0.1454,0.4333,0.211,0.2108
21_N1,390.0,"CASE(worst P10, tier gap)",4,0.0439,,,0.0412,
21_N1,420.0,tier0_canopy_mid,5124,0.0495,0.1753,0.5716,0.2533,0.2721
21_N1,420.0,tier0_canopy_top,5201,0.0517,0.1766,0.5372,0.2507,0.2676
21_N1,420.0,tier1_canopy_mid,5151,0.0724,0.1609,0.515,0.2437,0.2396
21_N1,420.0,tier1_canopy_top,5209,0.0714,0.1468,0.4422,0.213,0.2125
21_N1,420.0,"CASE(worst P10, tier gap)",4,0.0495,,,0.0402,
21_N1,450.0,tier0_canopy_mid,5124,0.0481,0.181,0.5646,0.2548,0.2943
21_N1,450.0,tier0_canopy_top,5201,0.0507,0.1808,0.5449,0.2536,0.2824
21_N1,450.0,tier1_canopy_mid,5151,0.0652,0.1635,0.5306,0.2457,0.2431
21_N1,450.0,tier1_canopy_top,5209,0.0658,0.15,0.4518,0.2142,0.2131
21_N1,450.0,"CASE(worst P10, tier gap)",4,0.0481,,,0.0406,
21_N1,480.0,tier0_canopy_mid,5124,0.0476,0.1801,0.5497,0.2517,0.2783
21_N1,480.0,tier0_canopy_top,5201,0.0534,0.181,0.5397,0.2534,0.2719
21_N1,480.0,tier1_canopy_mid,5151,0.0644,0.1615,0.5285,0.2448,0.2434
21_N1,480.0,tier1_canopy_top,5209,0.0645,0.1477,0.4491,0.2127,0.2152
21_N1,480.0,"CASE(worst P10, tier gap)",4,0.0476,,,0.0407,
21_N1,510.0,tier0_canopy_mid,5124,0.0473,0.1796,0.556,0.253,0.2758
21_N1,510.0,tier0_canopy_top,5201,0.0537,0.1793,0.5319,0.2501,0.2713
21_N1,510.0,tier1_canopy_mid,5151,0.0674,0.1608,0.5308,0.2456,0.246
21_N1,510.0,tier1_canopy_top,5209,0.0683,0.1466,0.4492,0.2125,0.2144
21_N1,510.0,"CASE(worst P10, tier gap)",4,0.0473,,,0.0406,
21_N1,540.0,tier0_canopy_mid,5124,0.0483,0.1799,0.5544,0.253,0.274
21_N1,540.0,tier0_canopy_top,5201,0.0539,0.1815,0.5349,0.2517,0.2736
21_N1,540.0,tier1_canopy_mid,5151,0.0656,0.1613,0.5348,0.246,0.2467
21_N1,540.0,tier1_canopy_top,5209,0.0666,0.1472,0.451,0.2132,0.2162
21_N1,540.0,"CASE(worst P10, tier gap)",4,0.0483,,,0.0397,
21_N1,570.0,tier0_canopy_mid,5124,0.0501,0.1772,0.5448,0.2503,0.2676
21_N1,570.0,tier0_canopy_top,5201,0.054,0.1813,0.5344,0.2522,0.2721
21_N1,570.0,tier1_canopy_mid,5151,0.0663,0.1648,0.5425,0.2479,0.2495
21_N1,570.0,tier1_canopy_top,5209,0.0667,0.1485,0.4588,0.2152,0.2164
21_N1,570.0,"CASE(worst P10, tier gap)",4,0.0501,,,0.037,
21_N1,600.0,tier0_canopy_mid,5124,0.0473,0.1819,0.553,0.2527,0.2732
21_N1,600.0,tier0_canopy_top,5201,0.0507,0.1835,0.5308,0.2508,0.2726
21_N1,600.0,tier1_canopy_mid,5151,0.066,0.1628,0.5373,0.2474,0.2504
21_N1,600.0,tier1_canopy_top,5209,0.0665,0.1476,0.4559,0.214,0.2148
21_N1,600.0,"CASE(worst P10, tier gap)",4,0.0473,,,0.0386,
25_A1,30.0,tier0_canopy_mid,5077,0.0826,0.2026,0.8135,0.3619,0.3065
25_A1,30.0,tier0_canopy_top,5140,0.078,0.1812,0.5221,0.282,0.2261
25_A1,30.0,tier1_canopy_mid,5072,0.0527,0.1894,0.7523,0.3336,0.2977
25_A1,30.0,tier1_canopy_top,5139,0.057,0.1659,0.4582,0.2623,0.2674
25_A1,30.0,"CASE(worst P10, tier gap)",4,0.0527,,,0.0996,
25_A1,60.0,tier0_canopy_mid,5077,0.0853,0.1989,0.7851,0.3548,0.2976
25_A1,60.0,tier0_canopy_top,5140,0.0795,0.1947,0.5852,0.3085,0.3014
25_A1,60.0,tier1_canopy_mid,5072,0.0745,0.1895,0.7561,0.3349,0.281
25_A1,60.0,tier1_canopy_top,5139,0.0803,0.1935,0.5315,0.3001,0.3057
25_A1,60.0,"CASE(worst P10, tier gap)",4,0.0745,,,0.0547,
25_A1,90.0,tier0_canopy_mid,5077,0.0587,0.206,0.7641,0.3414,0.2951
25_A1,90.0,tier0_canopy_top,5140,0.0531,0.2048,0.5661,0.3057,0.3136
